tensor_id,tensor_name,tensor_type,size_KB,module_path,event_type,t_start_us,t_end_us,src_name,dest_name
41,param_154_155,WEIGHT,32768.000,model.layers.0.self_attn.q_proj,TRANSFER,123401.080,124711.800,ram,vram0
41,param_154_155,WEIGHT,32768.000,model.layers.0.self_attn.q_proj,TRANSFER,123401.080,124711.800,ram,vram0
126,param_413_414,WEIGHT,114688.000,model.layers.0.mlp.down_proj,TRANSFER,125422.030,130009.550,ram,vram0
126,param_413_414,WEIGHT,114688.000,model.layers.0.mlp.down_proj,TRANSFER,125422.030,130009.550,ram,vram0
9,param_48_49,WEIGHT,4.000,model.rotary_emb,TRANSFER,138091.134,138091.294,ram,vram0
9,param_48_49,WEIGHT,4.000,model.rotary_emb,TRANSFER,138091.134,138091.294,ram,vram0
120,param_395_396,WEIGHT,114688.000,model.layers.0.mlp.up_proj,TRANSFER,170030.386,174617.906,ram,vram0
120,param_395_396,WEIGHT,114688.000,model.layers.0.mlp.up_proj,TRANSFER,170030.386,174617.906,ram,vram0
3,param_25_26,WEIGHT,1026048.000,model.embed_tokens,TRANSFER,212355.320,253397.240,ram,vram0
3,param_25_26,WEIGHT,1026048.000,model.embed_tokens,TRANSFER,212355.320,253397.240,ram,vram0
25,param_101_102,WEIGHT,4.000,model.rotary_emb,TRANSFER,270010.508,270010.668,ram,vram0
25,param_101_102,WEIGHT,4.000,model.rotary_emb,TRANSFER,270010.508,270010.668,ram,vram0
27,param_106_107,WEIGHT,4.000,model.rotary_emb,TRANSFER,270011.660,270011.820,ram,vram0
27,param_106_107,WEIGHT,4.000,model.rotary_emb,TRANSFER,270011.660,270011.820,ram,vram0
34,param_135_136,WEIGHT,4.000,model.layers.0.input_layernorm,TRANSFER,288736.865,288737.025,ram,vram0
34,param_135_136,WEIGHT,4.000,model.layers.0.input_layernorm,TRANSFER,288736.865,288737.025,ram,vram0
39,param_149_150,WEIGHT,8.000,model.layers.0.input_layernorm,TRANSFER,288742.401,288742.721,ram,vram0
39,param_149_150,WEIGHT,8.000,model.layers.0.input_layernorm,TRANSFER,288742.401,288742.721,ram,vram0
48,param_174_175,WEIGHT,8192.000,model.layers.0.self_attn.k_proj,TRANSFER,327053.206,327380.886,ram,vram0
48,param_174_175,WEIGHT,8192.000,model.layers.0.self_attn.k_proj,TRANSFER,327053.206,327380.886,ram,vram0
55,param_194_195,WEIGHT,8192.000,model.layers.0.self_attn.v_proj,TRANSFER,330260.569,330588.249,ram,vram0
55,param_194_195,WEIGHT,8192.000,model.layers.0.self_attn.v_proj,TRANSFER,330260.569,330588.249,ram,vram0
114,param_378_379,WEIGHT,114688.000,model.layers.0.mlp.gate_proj,TRANSFER,337958.557,342723.128,ram,vram0
