step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,77,8,616,cpu,,"[1,77]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,77,8,616,cpu,,"[1,77]",3,3
0,2,cache_19_20,t2,CONTEXT,19,20,0,11,8,88,cpu,,"[1,11]",3,3
0,3,cache_26_27,t3,CONTEXT,26,27,0,11,8,88,cpu,,"[1,11]",3,3
0,4,cache_35_36,t4,CONTEXT,35,36,0,77,8,616,cuda:0,,"[1,77]",3,3
0,5,param_39_40,t5,WEIGHT,39,40,0,77,8,616,cpu,,"[1,77]",0,2
0,6,cache_44_45,t6,CONTEXT,44,45,0,77,8,616,cuda:0,,"[1,77]",2,2
0,7,param_48_40,t7,WEIGHT,48,40,0,77,8,616,cpu,,"[1,77]",0,1
0,8,param_48_45,t8,WEIGHT,48,45,0,77,8,616,cuda:0,,"[1,77]",0,2
0,9,cache_51_36,t9,CONTEXT,51,36,0,77,8,616,cuda:0,,"[1,77]",3,4
0,10,param_53_54,t10,WEIGHT,53,54,0,37945344,2,75890688,cpu,,"[49408,768]",0,2
0,11,cache_58_59,t11,CONTEXT,58,59,0,37945344,2,75890688,cuda:0,,"[49408,768]",2,2
0,12,param_62_54,t12,WEIGHT,62,54,0,37945344,2,75890688,cpu,,"[49408,768]",0,1
0,13,param_62_59,t13,WEIGHT,62,59,0,37945344,2,75890688,cuda:0,,"[49408,768]",0,3
0,14,cache_65_45,t14,CONTEXT,65,45,0,77,8,616,cuda:0,,"[1,77]",2,2
0,15,param_67_68,t15,WEIGHT,67,68,0,59136,2,118272,cpu,,"[77,768]",0,2
0,16,cache_72_73,t16,CONTEXT,72,73,0,59136,2,118272,cuda:0,,"[77,768]",2,2
0,17,param_76_68,t17,WEIGHT,76,68,0,59136,2,118272,cpu,,"[77,768]",0,1
0,18,param_76_73,t18,WEIGHT,76,73,0,59136,2,118272,cuda:0,,"[77,768]",0,3
0,19,cache_81_36,t19,CONTEXT,81,36,0,77,8,616,cuda:0,,[77],1,1
0,20,cache_84_85,t20,CONTEXT,84,85,0,0,2,0,cuda:0,,[0],1,1
0,21,cache_84_87,t21,CONTEXT,84,87,0,59136,2,118272,cuda:0,,"[77,768]",2,3
0,22,cache_89_36,t22,CONTEXT,89,36,0,77,8,616,cuda:0,,"[77,1]",1,1
0,23,cache_92_36,t23,CONTEXT,92,36,0,59136,8,473088,cuda:0,,"[77,768]",1,1
0,24,cache_95_87,t24,CONTEXT,95,87,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,25,cache_97_59,t25,CONTEXT,97,59,0,59136,2,118272,cuda:0,,"[77,768]",1,0
0,26,cache_97_109,t26,CONTEXT,97,109,0,768,2,1536,cuda:0,,[768],2,2
0,27,param_101_102,t27,WEIGHT,101,102,0,768,2,1536,cpu,,[768],0,2
0,28,param_104_105,t28,WEIGHT,104,105,0,768,2,1536,cpu,,[768],0,2
0,29,param_112_102,t29,WEIGHT,112,102,0,768,2,1536,cpu,,[768],0,1
0,30,param_112_109,t30,WEIGHT,112,109,0,768,2,1536,cuda:0,,[768],0,2
0,31,cache_116_117,t31,CONTEXT,116,117,0,768,2,1536,cuda:0,,[768],2,2
