step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_1,t0,CONTEXT,5,1,0,5,8,40,cpu,,"[1,5]",3,4
0,1,cache_11_2,t1,CONTEXT,11,2,0,5,8,40,cpu,,"[1,5]",3,3
0,2,cache_19_3,t2,CONTEXT,19,3,0,5,8,40,cuda:0,,"[1,5]",2,3
0,3,param_22_4,t3,WEIGHT,22,4,0,525336576,2,1050673152,cuda:0,,"[128256,4096]",0,18
0,4,cache_25_3,t4,CONTEXT,25,3,0,5,8,40,cuda:0,,[5],1,1
0,5,cache_28_5,t5,CONTEXT,28,5,0,0,2,0,cuda:0,,[0],1,1
0,6,cache_28_6,t6,CONTEXT,28,6,0,20480,2,40960,cuda:0,,"[5,4096]",2,1
0,7,cache_31_6,t7,CONTEXT,31,6,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,2
0,8,cache_34_5,t8,CONTEXT,34,5,0,0,8,0,cuda:0,,[0],1,2
0,9,cache_34_7,t9,CONTEXT,34,7,0,5,8,40,cuda:0,,[5],2,1
0,10,cache_39_7,t10,CONTEXT,39,7,0,5,8,40,cuda:0,,"[1,5]",1,1
0,11,param_41_8,t11,WEIGHT,41,8,0,64,4,256,cuda:0,,[64],0,15
0,12,cache_43_8,t12,CONTEXT,43,8,0,64,4,256,cuda:0,,"[1,64]",1,1
0,13,cache_46_8,t13,CONTEXT,46,8,0,64,4,256,cuda:0,,"[1,64]",1,1
0,14,cache_49_8,t14,CONTEXT,49,8,0,64,4,256,cuda:0,,"[1,64,1]",2,2
0,15,cache_53_8,t15,CONTEXT,53,8,0,64,4,256,cuda:0,,"[1,64,1]",2,2
0,16,cache_56_7,t16,CONTEXT,56,7,0,5,8,40,cuda:0,,"[1,5]",1,1
0,17,cache_59_7,t17,CONTEXT,59,7,0,5,8,40,cuda:0,,"[1,1,5]",1,1
0,18,cache_62_7,t18,CONTEXT,62,7,0,5,8,40,cuda:0,,"[1,1,5]",1,1
0,19,cache_66_9,t19,CONTEXT,66,9,0,5,4,20,cuda:0,,"[1,1,5]",3,3
0,20,cache_73_8,t20,CONTEXT,73,8,0,64,4,256,cuda:0,,"[1,64,1]",1,1
0,21,cache_76_8,t21,CONTEXT,76,8,0,64,4,256,cuda:0,,"[1,64,1]",1,1
0,22,cache_79_9,t22,CONTEXT,79,9,0,5,4,20,cuda:0,,"[1,1,5]",1,1
0,23,cache_82_9,t23,CONTEXT,82,9,0,5,4,20,cuda:0,,"[1,1,5]",1,1
0,24,cache_84_10,t24,CONTEXT,84,10,0,320,4,1280,cuda:0,,"[1,64,5]",1,1
0,25,cache_86_10,t25,CONTEXT,86,10,0,320,4,1280,cuda:0,,"[1,64,5]",1,1
0,26,cache_89_10,t26,CONTEXT,89,10,0,320,4,1280,cuda:0,,"[1,5,64]",1,1
0,27,cache_91_11,t27,CONTEXT,91,11,0,640,4,2560,cuda:0,,"[1,5,128]",1,2
0,28,cache_93_12,t28,CONTEXT,93,12,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,29,cache_95_13,t29,CONTEXT,95,13,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,30,param_97_14,t30,WEIGHT,97,14,0,1,8,8,cpu,,[],0,1
0,31,cache_98_15,t31,CONTEXT,98,15,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,32,param_100_16,t32,WEIGHT,100,16,0,1,8,8,cpu,,[],0,1
0,33,cache_101_17,t33,CONTEXT,101,17,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,34,cache_105_18,t34,CONTEXT,105,18,0,640,2,1280,cuda:0,,"[1,5,128]",2,33
0,35,cache_110_19,t35,CONTEXT,110,19,0,640,2,1280,cuda:0,,"[1,5,128]",2,33
0,36,cache_115_20,t36,CONTEXT,115,20,0,20480,4,81920,cuda:0,,"[1,5,4096]",3,5
0,37,cache_120_21,t37,CONTEXT,120,21,0,20480,4,81920,cuda:0,,"[1,5,4096]",1,1
0,38,cache_122_22,t38,CONTEXT,122,22,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,39,param_124_23,t39,WEIGHT,124,23,0,1,8,8,cpu,,[],0,1
0,40,cache_125_24,t40,CONTEXT,125,24,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,41,cache_127_25,t41,CONTEXT,127,25,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,42,cache_129_26,t42,CONTEXT,129,26,0,20480,4,81920,cuda:0,,"[1,5,4096]",1,1
0,43,cache_133_27,t43,CONTEXT,133,27,0,20480,2,40960,cuda:0,,"[1,5,4096]",2,2
0,44,param_136_28,t44,WEIGHT,136,28,0,4096,2,8192,cuda:0,,[4096],0,15
0,45,cache_137_29,t45,CONTEXT,137,29,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,3
