step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_1,t0,CONTEXT,5,1,0,77,8,616,cpu,,"[1,77]",3,4
0,1,cache_11_2,t1,CONTEXT,11,2,0,77,8,616,cpu,,"[1,77]",3,3
0,2,cache_17_3,t2,CONTEXT,17,3,0,11,8,88,cpu,,"[1,11]",3,3
0,3,cache_23_4,t3,CONTEXT,23,4,0,11,8,88,cpu,,"[1,11]",3,3
0,4,cache_31_5,t4,CONTEXT,31,5,0,77,8,616,cuda:0,,"[1,77]",2,2
0,5,cache_34_5,t5,CONTEXT,34,5,0,77,8,616,cuda:0,,"[1,77]",1,2
0,6,param_36_6,t6,WEIGHT,36,6,0,77,8,616,cuda:0,,"[1,77]",0,2
0,7,cache_38_6,t7,CONTEXT,38,6,0,77,8,616,cuda:0,,"[1,77]",1,1
0,8,param_40_7,t8,WEIGHT,40,7,0,37945344,2,75890688,cuda:0,,"[49408,768]",0,4
0,9,cache_43_5,t9,CONTEXT,43,5,0,77,8,616,cuda:0,,[77],1,1
0,10,cache_46_8,t10,CONTEXT,46,8,0,0,2,0,cuda:0,,[0],1,1
0,11,cache_46_9,t11,CONTEXT,46,9,0,59136,2,118272,cuda:0,,"[77,768]",2,3
0,12,cache_49_5,t12,CONTEXT,49,5,0,77,8,616,cuda:0,,"[77,1]",1,1
0,13,cache_52_5,t13,CONTEXT,52,5,0,59136,8,473088,cuda:0,,"[77,768]",1,1
0,14,cache_55_9,t14,CONTEXT,55,9,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,15,cache_57_6,t15,CONTEXT,57,6,0,77,8,616,cuda:0,,[77],1,1
0,16,cache_57_7,t16,CONTEXT,57,7,0,59136,2,118272,cuda:0,,"[77,768]",1,0
0,17,param_60_10,t17,WEIGHT,60,10,0,59136,2,118272,cuda:0,,"[77,768]",0,4
0,18,cache_65_8,t18,CONTEXT,65,8,0,0,2,0,cuda:0,,[0],1,1
0,19,cache_65_11,t19,CONTEXT,65,11,0,59136,2,118272,cuda:0,,"[77,768]",2,3
0,20,cache_68_6,t20,CONTEXT,68,6,0,77,8,616,cuda:0,,"[77,1]",1,1
0,21,cache_71_6,t21,CONTEXT,71,6,0,59136,8,473088,cuda:0,,"[77,768]",1,1
0,22,cache_74_11,t22,CONTEXT,74,11,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,23,cache_76_10,t23,CONTEXT,76,10,0,59136,2,118272,cuda:0,,"[77,768]",1,0
0,24,cache_76_12,t24,CONTEXT,76,12,0,59136,2,118272,cuda:0,,"[1,77,768]",1,2
0,25,cache_81_13,t25,CONTEXT,81,13,0,5929,4,23716,cuda:0,,"[77,77]",3,3
0,26,cache_85_14,t26,CONTEXT,85,14,0,0,8,0,cuda:0,,[0],1,2
0,27,cache_85_15,t27,CONTEXT,85,15,0,77,8,616,cuda:0,,[77],2,2
0,28,param_89_16,t28,WEIGHT,89,16,0,1,8,8,cpu,,[],0,1
0,29,cache_90_17,t29,CONTEXT,90,17,0,77,8,616,cuda:0,,[77],1,1
0,30,cache_92_17,t30,CONTEXT,92,17,0,77,8,616,cuda:0,,"[77,1]",1,1
0,31,cache_94_18,t31,CONTEXT,94,18,0,5929,1,5929,cuda:0,bool,"[77,77]",1,1
0,32,cache_99_19,t32,CONTEXT,99,19,0,5929,2,11858,cuda:0,,"[77,77]",2,2
0,33,cache_103_19,t33,CONTEXT,103,19,0,5929,2,11858,cuda:0,,"[1,77,77]",1,1
0,34,cache_106_19,t34,CONTEXT,106,19,0,5929,2,11858,cuda:0,,"[1,1,77,77]",1,1
0,35,cache_109_19,t35,CONTEXT,109,19,0,5929,2,11858,cuda:0,,"[1,1,77,77]",1,1
0,36,cache_112_19,t36,CONTEXT,112,19,0,5929,2,11858,cuda:0,,"[1,1,77,77]",1,1
0,37,cache_115_19,t37,CONTEXT,115,19,0,5929,2,11858,cuda:0,,"[1,1,77,77]",1,12
0,38,param_117_20,t38,WEIGHT,117,20,0,768,2,1536,cuda:0,,[768],0,2
0,39,param_118_21,t39,WEIGHT,118,21,0,768,2,1536,cuda:0,,[768],0,2
0,40,cache_121_22,t40,CONTEXT,121,22,0,59136,2,118272,cuda:0,,"[1,77,768]",2,3
0,41,cache_123_23,t41,CONTEXT,123,23,0,77,4,308,cuda:0,,[77],1,1
0,42,cache_125_24,t42,CONTEXT,125,24,0,77,4,308,cuda:0,,[77],1,1
0,43,cache_127_23,t43,CONTEXT,127,23,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,44,cache_127_25,t44,CONTEXT,127,25,0,589824,2,1179648,cuda:0,,"[768,768]",1,2
0,45,cache_129_22,t45,CONTEXT,129,22,0,59136,2,118272,cuda:0,,"[77,768]",1,2
0,46,cache_129_24,t46,CONTEXT,129,24,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,47,param_131_25,t47,WEIGHT,131,25,0,589824,2,1179648,cuda:0,,"[768,768]",0,2
0,48,param_132_26,t48,WEIGHT,132,26,0,768,2,1536,cuda:0,,[768],0,4
0,49,cache_139_27,t49,CONTEXT,139,27,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,50,cache_141_27,t50,CONTEXT,141,27,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,51,param_143_28,t51,WEIGHT,143,28,0,589824,2,1179648,cuda:0,,"[768,768]",0,2
0,52,param_144_29,t52,WEIGHT,144,29,0,768,2,1536,cuda:0,,[768],0,4
0,53,cache_147_22,t53,CONTEXT,147,22,0,59136,2,118272,cuda:0,,"[77,768]",1,2
0,54,cache_151_28,t54,CONTEXT,151,28,0,589824,2,1179648,cuda:0,,"[768,768]",1,2
0,55,cache_153_30,t55,CONTEXT,153,30,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,56,cache_155_30,t56,CONTEXT,155,30,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,57,param_157_31,t57,WEIGHT,157,31,0,589824,2,1179648,cuda:0,,"[768,768]",0,2
0,58,param_158_32,t58,WEIGHT,158,32,0,768,2,1536,cuda:0,,[768],0,4
0,59,cache_161_22,t59,CONTEXT,161,22,0,59136,2,118272,cuda:0,,"[77,768]",1,2
0,60,cache_165_31,t60,CONTEXT,165,31,0,589824,2,1179648,cuda:0,,"[768,768]",1,2
0,61,cache_167_33,t61,CONTEXT,167,33,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,62,cache_169_33,t62,CONTEXT,169,33,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,63,cache_171_27,t63,CONTEXT,171,27,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,64,cache_174_27,t64,CONTEXT,174,27,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,65,cache_176_30,t65,CONTEXT,176,30,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,66,cache_179_30,t66,CONTEXT,179,30,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,67,cache_181_33,t67,CONTEXT,181,33,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,68,cache_184_33,t68,CONTEXT,184,33,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,69,cache_189_34,t69,CONTEXT,189,34,0,6160,2,12320,cuda:0,,"[1,1,77,80]",2,3
0,70,cache_194_34,t70,CONTEXT,194,34,0,5929,2,11858,cuda:0,,"[1,1,77,77]",2,1
0,71,cache_198_34,t71,CONTEXT,198,34,0,5929,2,11858,cuda:0,,"[1,1,77,77]",1,1
0,72,cache_201_34,t72,CONTEXT,201,34,0,71148,2,142296,cuda:0,,"[1,12,77,77]",1,1
0,73,cache_205_27,t73,CONTEXT,205,27,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,74,cache_208_30,t74,CONTEXT,208,30,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,75,cache_211_33,t75,CONTEXT,211,33,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,76,cache_214_35,t76,CONTEXT,214,35,0,1,8,8,cpu,,[],2,0
0,77,cache_214_37,t77,CONTEXT,214,37,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,78,cache_216_36,t78,CONTEXT,216,36,0,1,8,8,cpu,,[],2,0
0,79,cache_216_37,t79,CONTEXT,216,37,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,80,cache_218_37,t80,CONTEXT,218,37,0,59136,2,118272,cuda:0,,"[1,77,12,64]",2,1
0,81,cache_220_37,t81,CONTEXT,220,37,0,59136,2,118272,cuda:0,,"[77,768]",1,2
0,82,cache_220_38,t82,CONTEXT,220,38,0,0,4,0,cuda:0,,"[1,12,0]",2,0
0,83,cache_223_37,t83,CONTEXT,223,37,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,84,param_229_39,t84,WEIGHT,229,39,0,589824,2,1179648,cuda:0,,"[768,768]",0,2
0,85,param_230_40,t85,WEIGHT,230,40,0,768,2,1536,cuda:0,,[768],0,4
0,86,cache_236_39,t86,CONTEXT,236,39,0,589824,2,1179648,cuda:0,,"[768,768]",1,2
0,87,cache_238_41,t87,CONTEXT,238,41,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,88,cache_240_41,t88,CONTEXT,240,41,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,89,cache_242_42,t89,CONTEXT,242,42,0,59136,2,118272,cuda:0,,"[1,77,768]",1,2
0,90,param_244_43,t90,WEIGHT,244,43,0,768,2,1536,cuda:0,,[768],0,2
0,91,param_245_44,t91,WEIGHT,245,44,0,768,2,1536,cuda:0,,[768],0,2
0,92,cache_248_45,t92,CONTEXT,248,45,0,59136,2,118272,cuda:0,,"[1,77,768]",2,1
0,93,cache_250_46,t93,CONTEXT,250,46,0,77,4,308,cuda:0,,[77],1,1
0,94,cache_252_47,t94,CONTEXT,252,47,0,77,4,308,cuda:0,,[77],1,1
0,95,cache_254_46,t95,CONTEXT,254,46,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,96,cache_254_48,t96,CONTEXT,254,48,0,2359296,2,4718592,cuda:0,,"[768,3072]",1,1
0,97,cache_256_45,t97,CONTEXT,256,45,0,59136,2,118272,cuda:0,,"[77,768]",1,1
0,98,cache_256_47,t98,CONTEXT,256,47,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,99,param_258_48,t99,WEIGHT,258,48,0,2359296,2,4718592,cuda:0,,"[3072,768]",0,2
0,100,param_259_49,t100,WEIGHT,259,49,0,3072,2,6144,cuda:0,,[3072],0,2
0,101,cache_266_50,t101,CONTEXT,266,50,0,236544,2,473088,cuda:0,,"[77,3072]",1,1
0,102,cache_268_50,t102,CONTEXT,268,50,0,236544,2,473088,cuda:0,,"[1,77,3072]",1,2
0,103,param_270_51,t103,WEIGHT,270,51,0,1,8,8,cpu,,[],0,1
0,104,cache_271_52,t104,CONTEXT,271,52,0,236544,2,473088,cuda:0,,"[1,77,3072]",1,1
0,105,cache_273_53,t105,CONTEXT,273,53,0,236544,2,473088,cuda:0,,"[1,77,3072]",1,1
0,106,cache_275_54,t106,CONTEXT,275,54,0,236544,2,473088,cuda:0,,"[1,77,3072]",1,1
0,107,param_277_55,t107,WEIGHT,277,55,0,2359296,2,4718592,cuda:0,,"[768,3072]",0,2
0,108,param_278_56,t108,WEIGHT,278,56,0,768,2,1536,cuda:0,,[768],0,4
0,109,cache_281_54,t109,CONTEXT,281,54,0,236544,2,473088,cuda:0,,"[77,3072]",1,2
0,110,cache_285_55,t110,CONTEXT,285,55,0,2359296,2,4718592,cuda:0,,"[3072,768]",1,2
0,111,cache_287_57,t111,CONTEXT,287,57,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,112,cache_289_57,t112,CONTEXT,289,57,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,113,cache_291_58,t113,CONTEXT,291,58,0,59136,2,118272,cuda:0,,"[1,77,768]",1,2
0,114,param_293_59,t114,WEIGHT,293,59,0,768,2,1536,cuda:0,,[768],0,2
0,115,param_294_60,t115,WEIGHT,294,60,0,768,2,1536,cuda:0,,[768],0,2
0,116,cache_297_61,t116,CONTEXT,297,61,0,59136,2,118272,cuda:0,,"[1,77,768]",2,3
0,117,cache_299_62,t117,CONTEXT,299,62,0,77,4,308,cuda:0,,[77],1,1
0,118,cache_301_63,t118,CONTEXT,301,63,0,77,4,308,cuda:0,,[77],1,1
0,119,cache_303_62,t119,CONTEXT,303,62,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,120,cache_303_64,t120,CONTEXT,303,64,0,589824,2,1179648,cuda:0,,"[768,768]",1,2
0,121,cache_305_61,t121,CONTEXT,305,61,0,59136,2,118272,cuda:0,,"[77,768]",1,2
0,122,cache_305_63,t122,CONTEXT,305,63,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,123,param_307_64,t123,WEIGHT,307,64,0,589824,2,1179648,cuda:0,,"[768,768]",0,2
0,124,param_308_65,t124,WEIGHT,308,65,0,768,2,1536,cuda:0,,[768],0,4
0,125,cache_315_66,t125,CONTEXT,315,66,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,126,cache_317_66,t126,CONTEXT,317,66,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,127,param_319_67,t127,WEIGHT,319,67,0,589824,2,1179648,cuda:0,,"[768,768]",0,2
0,128,param_320_68,t128,WEIGHT,320,68,0,768,2,1536,cuda:0,,[768],0,4
0,129,cache_323_61,t129,CONTEXT,323,61,0,59136,2,118272,cuda:0,,"[77,768]",1,2
0,130,cache_327_67,t130,CONTEXT,327,67,0,589824,2,1179648,cuda:0,,"[768,768]",1,2
0,131,cache_329_69,t131,CONTEXT,329,69,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,132,cache_331_69,t132,CONTEXT,331,69,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,133,param_333_70,t133,WEIGHT,333,70,0,589824,2,1179648,cuda:0,,"[768,768]",0,2
0,134,param_334_71,t134,WEIGHT,334,71,0,768,2,1536,cuda:0,,[768],0,4
0,135,cache_337_61,t135,CONTEXT,337,61,0,59136,2,118272,cuda:0,,"[77,768]",1,2
0,136,cache_341_70,t136,CONTEXT,341,70,0,589824,2,1179648,cuda:0,,"[768,768]",1,2
0,137,cache_343_72,t137,CONTEXT,343,72,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,138,cache_345_72,t138,CONTEXT,345,72,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,139,cache_347_66,t139,CONTEXT,347,66,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,140,cache_350_66,t140,CONTEXT,350,66,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,141,cache_352_69,t141,CONTEXT,352,69,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,142,cache_355_69,t142,CONTEXT,355,69,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,143,cache_357_72,t143,CONTEXT,357,72,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,144,cache_360_72,t144,CONTEXT,360,72,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,145,cache_365_73,t145,CONTEXT,365,73,0,6160,2,12320,cuda:0,,"[1,1,77,80]",2,3
0,146,cache_370_73,t146,CONTEXT,370,73,0,5929,2,11858,cuda:0,,"[1,1,77,77]",2,1
0,147,cache_374_73,t147,CONTEXT,374,73,0,5929,2,11858,cuda:0,,"[1,1,77,77]",1,1
0,148,cache_377_73,t148,CONTEXT,377,73,0,71148,2,142296,cuda:0,,"[1,12,77,77]",1,1
0,149,cache_381_66,t149,CONTEXT,381,66,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,150,cache_384_69,t150,CONTEXT,384,69,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,151,cache_387_72,t151,CONTEXT,387,72,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,152,cache_390_74,t152,CONTEXT,390,74,0,1,8,8,cpu,,[],2,0
0,153,cache_390_76,t153,CONTEXT,390,76,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,154,cache_392_75,t154,CONTEXT,392,75,0,1,8,8,cpu,,[],2,0
0,155,cache_392_76,t155,CONTEXT,392,76,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
0,156,cache_394_76,t156,CONTEXT,394,76,0,59136,2,118272,cuda:0,,"[1,77,12,64]",2,1
0,157,cache_396_76,t157,CONTEXT,396,76,0,59136,2,118272,cuda:0,,"[77,768]",1,2
0,158,cache_396_77,t158,CONTEXT,396,77,0,0,4,0,cuda:0,,"[1,12,0]",2,0
0,159,cache_399_76,t159,CONTEXT,399,76,0,59136,2,118272,cuda:0,,"[1,12,77,64]",1,1
0,160,param_405_78,t160,WEIGHT,405,78,0,589824,2,1179648,cuda:0,,"[768,768]",0,2
0,161,param_406_79,t161,WEIGHT,406,79,0,768,2,1536,cuda:0,,[768],0,4
0,162,cache_412_78,t162,CONTEXT,412,78,0,589824,2,1179648,cuda:0,,"[768,768]",1,2
0,163,cache_414_80,t163,CONTEXT,414,80,0,59136,2,118272,cuda:0,,"[77,768]",2,1
0,164,cache_416_80,t164,CONTEXT,416,80,0,59136,2,118272,cuda:0,,"[1,77,768]",1,1
0,165,cache_418_81,t165,CONTEXT,418,81,0,59136,2,118272,cuda:0,,"[1,77,768]",1,2
0,166,param_420_82,t166,WEIGHT,420,82,0,768,2,1536,cuda:0,,[768],0,2
0,167,param_421_83,t167,WEIGHT,421,83,0,768,2,1536,cuda:0,,[768],0,2
0,168,cache_424_84,t168,CONTEXT,424,84,0,59136,2,118272,cuda:0,,"[1,77,768]",2,1
0,169,cache_426_85,t169,CONTEXT,426,85,0,77,4,308,cuda:0,,[77],1,1
0,170,cache_428_86,t170,CONTEXT,428,86,0,77,4,308,cuda:0,,[77],1,1
0,171,cache_430_85,t171,CONTEXT,430,85,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,172,cache_430_87,t172,CONTEXT,430,87,0,2359296,2,4718592,cuda:0,,"[768,3072]",1,1
0,173,cache_432_84,t173,CONTEXT,432,84,0,59136,2,118272,cuda:0,,"[77,768]",1,1
0,174,cache_432_86,t174,CONTEXT,432,86,0,77,4,308,cuda:0,,"[1,77,1]",2,0
0,175,param_434_87,t175,WEIGHT,434,87,0,2359296,2,4718592,cuda:0,,"[3072,768]",0,2
0,176,param_435_88,t176,WEIGHT,435,88,0,3072,2,6144,cuda:0,,[3072],0,2
0,177,cache_442_89,t177,CONTEXT,442,89,0,236544,2,473088,cuda:0,,"[77,3072]",1,1
0,178,cache_444_89,t178,CONTEXT,444,89,0,236544,2,473088,cuda:0,,"[1,77,3072]",1,2
0,179,param_446_90,t179,WEIGHT,446,90,0,1,8,8,cpu,,[],0,1
0,180,cache_447_91,t180,CONTEXT,447,91,0,236544,2,473088,cuda:0,,"[1,77,3072]",1,1
0,181,cache_449_92,t181,CONTEXT,449,92,0,236544,2,473088,cuda:0,,"[1,77,3072]",1,1
0,182,cache_451_93,t182,CONTEXT,451,93,0,236544,2,473088,cuda:0,,"[1,77,3072]",1,1
0,183,param_453_94,t183,WEIGHT,453,94,0,2359296,2,4718592,cuda:0,,"[768,3072]",0,2
