step,src_node_id,dst_node_id,edge_kind,submit_exact,wait_kind,wait_exact,wait_source,wait_source_launch_ids,wait_source_correlation_ids
0,k0,k1,thread_order,,,,,,
0,k1,k2,thread_order,,,,,,
0,k2,k3,thread_order,,,,,,
0,k3,k4,thread_order,,,,,,
0,k4,k5,thread_order,,,,,,
0,k5,k6,thread_order,,,,,,
0,k6,k7,thread_order,,,,,,
0,k7,k8,thread_order,,,,,,
0,k8,k9,thread_order,,,,,,
0,k9,k10,thread_order,,,,,,
0,k10,k11,thread_order,,,,,,
0,k11,k12,thread_order,,,,,,
0,k12,k13,thread_order,,,,,,
0,k13,k14,thread_order,,,,,,
0,k14,k15,thread_order,,,,,,
0,k15,k16,thread_order,,,,,,
0,k16,k17,thread_order,,,,,,
0,k17,k18,thread_order,,,,,,
0,k18,k19,thread_order,,,,,,
0,k19,k21,thread_order,,,,,,
0,k21,k22,thread_order,,,,,,
0,k22,k23,thread_order,,,,,,
0,k23,k24,thread_order,,,,,,
0,k24,k25,thread_order,,,,,,
0,k25,k26,thread_order,,,,,,
0,k26,k27,thread_order,,,,,,
0,k27,k28,thread_order,,,,,,
0,k28,k29,thread_order,,,,,,
0,k29,k30,thread_order,,,,,,
0,k30,k32,thread_order,,,,,,
0,k32,k33,thread_order,,,,,,
0,k33,k34,thread_order,,,,,,
0,k34,k35,thread_order,,,,,,
0,k35,k36,thread_order,,,,,,
0,k36,k37,thread_order,,,,,,
0,k37,k38,thread_order,,,,,,
0,k38,k39,thread_order,,,,,,
0,k39,k40,thread_order,,,,,,
0,k40,k42,thread_order,,,,,,
0,k42,k43,thread_order,,,,,,
0,k43,k45,thread_order,,,,,,
0,k45,k46,thread_order,,,,,,
0,k46,k48,thread_order,,,,,,
0,k48,k49,thread_order,,,,,,
0,k49,k50,thread_order,,,,,,
0,k50,k52,thread_order,,,,,,
0,k52,k54,thread_order,,,,,,
0,k54,k55,thread_order,,,,,,
0,k55,k57,thread_order,,,,,,
0,k57,k59,thread_order,,,,,,
0,k59,k60,thread_order,,,,,,
0,k60,k62,thread_order,,,,,,
0,k62,k63,thread_order,,,,,,
0,k63,k64,thread_order,,,,,,
0,k64,k65,thread_order,,,,,,
0,k65,k66,thread_order,,,,,,
0,k66,k67,thread_order,,,,,,
0,k67,k68,thread_order,,,,,,
0,k68,k70,thread_order,,,,,,
0,k70,k71,thread_order,,,,,,
0,k71,k72,thread_order,,,,,,
0,k72,k73,thread_order,,,,,,
0,k73,k74,thread_order,,,,,,
0,k74,k75,thread_order,,,,,,
0,k75,k76,thread_order,,,,,,
0,k76,k78,thread_order,,,,,,
0,k78,k79,thread_order,,,,,,
0,k79,k80,thread_order,,,,,,
0,k80,k81,thread_order,,,,,,
0,k81,k82,thread_order,,,,,,
0,k82,k83,thread_order,,,,,,
0,k83,k85,thread_order,,,,,,
0,k85,k86,thread_order,,,,,,
0,k86,k87,thread_order,,,,,,
0,k87,k88,thread_order,,,,,,
0,k88,k89,thread_order,,,,,,
0,k89,k90,thread_order,,,,,,
0,k90,k92,thread_order,,,,,,
0,k92,k93,thread_order,,,,,,
0,k93,k94,thread_order,,,,,,
0,k94,k95,thread_order,,,,,,
0,k95,k96,thread_order,,,,,,
0,k96,k97,thread_order,,,,,,
0,k97,k98,thread_order,,,,,,
0,k98,k99,thread_order,,,,,,
0,k99,k100,thread_order,,,,,,
0,k100,k102,thread_order,,,,,,
0,k102,k103,thread_order,,,,,,
0,k103,k105,thread_order,,,,,,
0,k105,k106,thread_order,,,,,,
0,k106,k107,thread_order,,,,,,
0,k107,k108,thread_order,,,,,,
0,k108,k109,thread_order,,,,,,
0,k109,k110,thread_order,,,,,,
0,k110,k111,thread_order,,,,,,
0,k111,k112,thread_order,,,,,,
0,k112,k113,thread_order,,,,,,
0,k113,k114,thread_order,,,,,,
0,k114,k115,thread_order,,,,,,
0,k115,k117,thread_order,,,,,,
0,k117,k118,thread_order,,,,,,
0,k118,k119,thread_order,,,,,,
0,k119,k120,thread_order,,,,,,
0,k120,k121,thread_order,,,,,,
0,k121,k122,thread_order,,,,,,
0,k122,k123,thread_order,,,,,,
0,k123,k124,thread_order,,,,,,
0,k124,k126,thread_order,,,,,,
0,k126,k127,thread_order,,,,,,
0,k127,k129,thread_order,,,,,,
0,k129,k130,thread_order,,,,,,
0,k130,k131,thread_order,,,,,,
0,k131,k132,thread_order,,,,,,
0,k132,k134,thread_order,,,,,,
0,k134,k135,thread_order,,,,,,
0,k135,k136,thread_order,,,,,,
0,k136,k137,thread_order,,,,,,
0,k137,k138,thread_order,,,,,,
0,k138,k139,thread_order,,,,,,
0,k139,k140,thread_order,,,,,,
0,k140,k142,thread_order,,,,,,
0,k142,k143,thread_order,,,,,,
0,k143,k145,thread_order,,,,,,
0,k145,k147,thread_order,,,,,,
0,k147,k149,thread_order,,,,,,
0,k149,k150,thread_order,,,,,,
0,k150,k151,thread_order,,,,,,
0,k151,k152,thread_order,,,,,,
0,k152,k154,thread_order,,,,,,
0,k154,k156,thread_order,,,,,,
0,k156,k157,thread_order,,,,,,
0,k157,k159,thread_order,,,,,,
0,k159,k160,thread_order,,,,,,
0,k160,k161,thread_order,,,,,,
0,k161,k162,thread_order,,,,,,
0,k162,k164,thread_order,,,,,,
0,k164,k165,thread_order,,,,,,
0,k165,k166,thread_order,,,,,,
0,k166,k167,thread_order,,,,,,
0,k167,k168,thread_order,,,,,,
0,k168,k169,thread_order,,,,,,
0,k169,k170,thread_order,,,,,,
0,k170,k172,thread_order,,,,,,
0,k172,k173,thread_order,,,,,,
0,k173,k174,thread_order,,,,,,
0,k174,k175,thread_order,,,,,,
0,k175,k176,thread_order,,,,,,
0,k176,k177,thread_order,,,,,,
0,k177,k179,thread_order,,,,,,
0,k179,k180,thread_order,,,,,,
0,k180,k181,thread_order,,,,,,
0,k181,k182,thread_order,,,,,,
0,k182,k183,thread_order,,,,,,
0,k183,k184,thread_order,,,,,,
0,k184,k186,thread_order,,,,,,
