event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
0,1,llama_run,,llama_run,188.944,587506.82,587317.8759999999,2586.2250000004424,587317.8759999999,0.0,125428.54100000075,1,0,CPU,2294578,2294578,-1,-1,7,0,,84,0,[],[],False,False,False,True,0,0,-80,1024,-66830848,[[]],[null],{},[],"{""user_annotation_args"": ""sample_step=0 phase=text_generation component=llama device=cuda:0 fusion=inductor""}"
1,2,aten::empty,,aten::empty,435.615,466.873,31.25799999999998,31.25799999999998,31.25799999999998,0,0,1,0,CPU,2294578,2294578,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,40,40,0,0,"[[],[],[],[],[],[]]","[[1,5],4,0,null,false,null]",{},[],
2,3,aten::to,,aten::to,494.946,504.423,9.476999999999975,9.476999999999975,9.476999999999975,0,0,1,0,CPU,2294578,2294578,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
3,4,aten::lift_fresh,,aten::lift_fresh,510.655,515.664,5.0090000000000146,5.0090000000000146,5.0090000000000146,0,0,1,0,CPU,2294578,2294578,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
4,5,aten::detach_,,aten::detach_,519.522,529.981,10.458999999999946,7.162999999999897,10.458999999999946,0,0,1,0,CPU,2294578,2294578,-1,0,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
5,6,detach_,,detach_,521.996,525.292,3.296000000000049,3.296000000000049,3.296000000000049,0,0,1,0,CPU,2294578,2294578,-1,-1,0,2,5,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
6,7,aten::empty,,aten::empty,542.054,548.716,6.662000000000035,6.662000000000035,6.662000000000035,0,0,1,0,CPU,2294578,2294578,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,40,40,0,0,"[[],[],[],[],[],[]]","[[1,5],4,0,null,false,null]",{},[],
7,8,aten::to,,aten::to,552.383,557.352,4.968999999999937,4.968999999999937,4.968999999999937,0,0,1,0,CPU,2294578,2294578,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
8,9,aten::lift_fresh,,aten::lift_fresh,559.607,588.681,29.07400000000007,29.07400000000007,29.07400000000007,0,0,1,0,CPU,2294578,2294578,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
9,10,aten::detach_,,aten::detach_,591.186,598.72,7.533999999999992,5.531000000000063,7.533999999999992,0,0,1,0,CPU,2294578,2294578,-1,0,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
