step,node_id,node_n,node_name,op_name,node_kind,resource_kind,resource_id,runtime_role,device_type,device_index,thread_id,stream_id,start_ns,end_ns,duration_ns,correlation_id,linked_correlation_id,rf_id,kernel_file,has_tensor_io,compiled_graph_id,compiled_launch_id,module_path,module_class,module_size_bytes,module_has_parameters,module_parameters_have_data,module_has_buffers,module_buffers_have_data
0,k0,0,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,464842,494347,29505,2,0,2,,1,,-1,,,,,,,
0,k1,1,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,523411,531466,8055,3,0,3,,1,,-1,,,,,,,
0,k2,2,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,538349,543188,4839,4,0,4,,1,,-1,,,,,,,
0,k3,3,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,549690,552816,3126,6,0,6,,1,,-1,,,,,,,
0,k4,4,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,567854,574056,6202,7,0,7,,1,,-1,,,,,,,
0,k5,5,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,577613,582392,4779,8,0,8,,1,,-1,,,,,,,
0,k6,6,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,584566,607599,23033,9,0,9,,1,,-1,,,,,,,
0,k7,7,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,612227,614121,1894,11,0,11,,1,,-1,,,,,,,
0,k8,8,aten::empty_strided,aten::empty_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,653084,2050947,1397863,14,0,14,,1,,-1,,,,,,,
0,k9,9,cudaStreamIsCapturing,cudaStreamIsCapturing,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2064713,2066686,1973,12,15,,,0,,-1,,,,,,,
0,k10,10,cudaMemcpyAsync,cudaMemcpyAsync,cpu_leaf,cpu_thread,1,submit,CPU,2291422,1,2291422,2068079,2079580,11501,14,15,,,0,,-1,,,,,,,
0,k11,11,cudaStreamSynchronize,cudaStreamSynchronize,cpu_leaf,cpu_thread,1,wait,CPU,2291422,1,2291422,2080292,2087846,7554,15,15,,,0,,-1,,,,,,,
0,k12,12,Memcpy HtoD (Pageable -> Device),Memcpy HtoD (Pageable -> Device),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,2085667,2086275,608,14,15,15,,1,,-1,,,,,,,
0,k13,13,TorchDynamo Cache Lookup,TorchDynamo Cache Lookup,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2205746,2373650,167904,16,0,16,,1,,-1,,,,,,,
0,k14,14,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2407423,2417462,10039,19,0,19,,1,,-1,,,,,,,
0,k15,15,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2420959,2471784,50825,20,0,20,,1,,-1,,,,,,,
0,k16,16,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2474258,2478496,4238,21,0,21,,1,,-1,,,,,,,
0,k17,17,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2486551,2492482,5931,22,0,22,,1,,-1,,,,,,,
0,k18,18,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2494686,2499285,4599,23,0,23,,1,,-1,,,,,,,
0,k19,19,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2500507,2503663,3156,24,0,24,,1,,-1,,,,,,,
0,k20,20,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2509845,2514644,4799,25,0,25,,1,,-1,,,,,,,
0,k21,21,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2516718,2520965,4247,26,0,26,,1,,-1,,,,,,,
0,k22,22,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2522208,2525364,3156,27,0,27,,1,,-1,,,,,,,
0,k23,23,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2530774,2535723,4949,28,0,28,,1,,-1,,,,,,,
0,k24,24,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2537767,2549880,12113,29,0,29,,1,,-1,,,,,,,
0,k25,25,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2551312,2554418,3106,30,0,30,,1,,-1,,,,,,,
0,k26,26,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2559958,2564958,5000,31,0,31,,1,,-1,,,,,,,
0,k27,27,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2567002,2571199,4197,32,0,32,,1,,-1,,,,,,,
0,k28,28,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2572452,2575558,3106,33,0,33,,1,,-1,,,,,,,
0,k29,29,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2580166,2585025,4859,34,0,34,,1,,-1,,,,,,,
0,k30,30,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2587029,2591147,4118,35,0,35,,1,,-1,,,,,,,
0,k31,31,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2592349,2595405,3056,36,0,36,,1,,-1,,,,,,,
0,k32,32,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2600464,2605233,4769,37,0,37,,1,,-1,,,,,,,
0,k33,33,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2607227,2618327,11100,38,0,38,,1,,-1,,,,,,,
0,k34,34,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2619590,2622615,3025,39,0,39,,1,,-1,,,,,,,
0,k35,35,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2627845,2632815,4970,40,0,40,,1,,-1,,,,,,,
0,k36,36,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2634798,2638986,4188,41,0,41,,1,,-1,,,,,,,
0,k37,37,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2640188,2643104,2916,42,0,42,,1,,-1,,,,,,,
0,k38,38,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2648243,2653223,4980,43,0,43,,1,,-1,,,,,,,
0,k39,39,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2655257,2659304,4047,44,0,44,,1,,-1,,,,,,,
0,k40,40,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2660436,2663372,2936,45,0,45,,1,,-1,,,,,,,
0,k41,41,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2668251,2672970,4719,46,0,46,,1,,-1,,,,,,,
0,k42,42,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2674883,2690302,15419,47,0,47,,1,,-1,,,,,,,
0,k43,43,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2691594,2694560,2966,48,0,48,,1,,-1,,,,,,,
0,k44,44,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2699800,2704659,4859,49,0,49,,1,,-1,,,,,,,
0,k45,45,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2706723,2710850,4127,50,0,50,,1,,-1,,,,,,,
0,k46,46,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2712073,2714938,2865,51,0,51,,1,,-1,,,,,,,
0,k47,47,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2719246,2723925,4679,52,0,52,,1,,-1,,,,,,,
0,k48,48,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2725889,2729816,3927,53,0,53,,1,,-1,,,,,,,
0,k49,49,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2731118,2734304,3186,54,0,54,,1,,-1,,,,,,,
0,k50,50,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2738933,2743592,4659,55,0,55,,1,,-1,,,,,,,
0,k51,51,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2745635,2755825,10190,56,0,56,,1,,-1,,,,,,,
0,k52,52,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2757057,2760123,3066,57,0,57,,1,,-1,,,,,,,
0,k53,53,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2764761,2770322,5561,58,0,58,,1,,-1,,,,,,,
0,k54,54,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2772265,2776293,4028,59,0,59,,1,,-1,,,,,,,
0,k55,55,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2777465,2780511,3046,60,0,60,,1,,-1,,,,,,,
0,k56,56,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2784668,2789267,4599,61,0,61,,1,,-1,,,,,,,
0,k57,57,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2791411,2795529,4118,62,0,62,,1,,-1,,,,,,,
0,k58,58,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2796851,2799967,3116,63,0,63,,1,,-1,,,,,,,
0,k59,59,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2804275,2809365,5090,64,0,64,,1,,-1,,,,,,,
0,k60,60,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2811388,2822189,10801,65,0,65,,1,,-1,,,,,,,
0,k61,61,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2823511,2826737,3226,66,0,66,,1,,-1,,,,,,,
0,k62,62,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2831576,2836435,4859,67,0,67,,1,,-1,,,,,,,
0,k63,63,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2838529,2842537,4008,68,0,68,,1,,-1,,,,,,,
0,k64,64,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2843799,2846855,3056,69,0,69,,1,,-1,,,,,,,
0,k65,65,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2851303,2856052,4749,70,0,70,,1,,-1,,,,,,,
0,k66,66,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2858026,2861943,3917,71,0,71,,1,,-1,,,,,,,
0,k67,67,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2863205,2866371,3166,72,0,72,,1,,-1,,,,,,,
0,k68,68,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2870729,2875508,4779,73,0,73,,1,,-1,,,,,,,
0,k69,69,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2877522,2888392,10870,74,0,74,,1,,-1,,,,,,,
0,k70,70,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2889685,2892690,3005,75,0,75,,1,,-1,,,,,,,
0,k71,71,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2897680,2902559,4879,76,0,76,,1,,-1,,,,,,,
0,k72,72,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2904683,2908841,4158,77,0,77,,1,,-1,,,,,,,
0,k73,73,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2910083,2913229,3146,78,0,78,,1,,-1,,,,,,,
0,k74,74,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2917968,2922757,4789,79,0,79,,1,,-1,,,,,,,
0,k75,75,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2924780,2928848,4068,80,0,80,,1,,-1,,,,,,,
0,k76,76,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2930100,2933467,3367,81,0,81,,1,,-1,,,,,,,
0,k77,77,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2938356,2943225,4869,82,0,82,,1,,-1,,,,,,,
0,k78,78,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2945189,2957982,12793,83,0,83,,1,,-1,,,,,,,
0,k79,79,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2291422,1,2291422,2959245,2962371,3126,84,0,84,,1,,-1,,,,,,,
