step,node_id,node_n,node_name,op_name,node_kind,resource_kind,resource_id,runtime_role,device_type,device_index,thread_id,stream_id,start_ns,end_ns,duration_ns,correlation_id,linked_correlation_id,rf_id,kernel_file,has_tensor_io,compiled_graph_id,compiled_launch_id,module_path,module_class,module_size_bytes,module_has_parameters,module_parameters_have_data,module_has_buffers,module_buffers_have_data
0,k0,0,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8489042,8511253,22211,2,0,2,,1,,-1,,,,,,,
0,k1,1,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8526221,8534938,8717,3,0,3,,1,,-1,,,,,,,
0,k2,2,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8542922,8548242,5320,4,0,4,,1,,-1,,,,,,,
0,k3,3,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8554785,8558802,4017,6,0,6,,1,,-1,,,,,,,
0,k4,4,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8578509,8585272,6763,7,0,7,,1,,-1,,,,,,,
0,k5,5,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8591163,8596322,5159,8,0,8,,1,,-1,,,,,,,
0,k6,6,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8598566,8626699,28133,9,0,9,,1,,-1,,,,,,,
0,k7,7,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8631137,8633141,2004,11,0,11,,1,,-1,,,,,,,
0,k8,8,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8906592,8916120,9528,12,0,12,,1,,-1,,,,,,,
0,k9,9,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8921650,8927081,5431,13,0,13,,1,,-1,,,,,,,
0,k10,10,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8929555,8933112,3557,14,0,14,,1,,-1,,,,,,,
0,k11,11,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8937560,8939744,2184,16,0,16,,1,,-1,,,,,,,
0,k12,12,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8950454,8955955,5501,17,0,17,,1,,-1,,,,,,,
0,k13,13,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8959491,8975551,16060,18,0,18,,1,,-1,,,,,,,
0,k14,14,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8977896,8981212,3316,19,0,19,,1,,-1,,,,,,,
0,k15,15,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,8985289,8987053,1764,21,0,21,,1,,-1,,,,,,,
0,k16,16,aten::empty_strided,aten::empty_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,9034381,9143054,108673,24,0,24,,1,,-1,,,,,,,
0,k17,17,cudaStreamIsCapturing,cudaStreamIsCapturing,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,9155407,9157662,2255,12,25,,,0,,-1,,,,,,,
0,k18,18,cudaMemcpyAsync,cudaMemcpyAsync,cpu_leaf,cpu_thread,1,submit,CPU,2286604,1,2286604,9158854,9170676,11822,14,25,,,0,,-1,,,,,,,
0,k19,19,cudaStreamSynchronize,cudaStreamSynchronize,cpu_leaf,cpu_thread,1,wait,CPU,2286604,1,2286604,9171207,9175896,4689,15,25,,,0,,-1,,,,,,,
0,k20,20,Memcpy HtoD (Pageable -> Device),Memcpy HtoD (Pageable -> Device),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,9172718,9173550,832,14,25,25,,1,,-1,,,,,,,
0,k21,21,TorchDynamo Cache Lookup,TorchDynamo Cache Lookup,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,9290209,9409512,119303,26,0,26,,1,,-1,text_encoder._orig_mod,CLIPTextModelWithProjection,0,0,0,0,0
0,k22,22,Pregraph bytecode,Pregraph bytecode,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,9431814,9494271,62457,28,0,28,,1,,-1,text_encoder._orig_mod,CLIPTextModelWithProjection,0,0,0,0,0
0,k23,23,AOTDispatcher Runtime Wrapper Prologue,AOTDispatcher Runtime Wrapper Prologue,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,9525650,9547460,21810,29,0,29,,1,,-1,text_encoder._orig_mod,CLIPTextModelWithProjection,0,0,0,0,0
0,k24,24,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2286604,1,2286604,9796195,9813498,17303,37,32,,,0,0,0,text_model,,,,,,
0,k25,25,triton_per_fused_add_embedding_native_layer_norm_0,triton_per_fused_add_embedding_native_layer_norm_0,gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,9817843,9819987,2144,37,32,32,c4jql553e2n66eeny3wv3dhzoabx4med2a2bgbjcn3dddaplvtp5.py,1,0,0,text_model,,,,,,
0,k26,26,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,9952648,9953439,791,68,34,,,0,0,1,text_model.encoder.layers.0.self_attn.q_proj,,,,,,
0,k27,27,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,9955573,9956365,792,70,34,,,0,0,1,text_model.encoder.layers.0.self_attn.q_proj,,,,,,
0,k28,28,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2286604,1,2286604,9956595,9963799,7204,71,34,,,0,0,1,text_model.encoder.layers.0.self_attn.q_proj,,,,,,
0,k29,29,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8::Params),void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8::Params),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,9973780,9980212,6432,71,34,34,,1,0,1,text_model.encoder.layers.0.self_attn.q_proj,,,,,,
0,k30,30,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10030123,10030343,220,104,36,,,0,0,2,text_model.encoder.layers.0.self_attn.k_proj,,,,,,
0,k31,31,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10031064,10031265,201,106,36,,,0,0,2,text_model.encoder.layers.0.self_attn.k_proj,,,,,,
0,k32,32,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2286604,1,2286604,10031395,10036725,5330,107,36,,,0,0,2,text_model.encoder.layers.0.self_attn.k_proj,,,,,,
0,k33,33,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8::Params),void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8::Params),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,10037621,10043893,6272,107,36,36,,1,0,2,text_model.encoder.layers.0.self_attn.k_proj,,,,,,
0,k34,34,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10086819,10087049,230,140,38,,,0,0,3,text_model.encoder.layers.0.self_attn.v_proj,,,,,,
0,k35,35,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10087630,10087790,160,142,38,,,0,0,3,text_model.encoder.layers.0.self_attn.v_proj,,,,,,
0,k36,36,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2286604,1,2286604,10087911,10092639,4728,143,38,,,0,0,3,text_model.encoder.layers.0.self_attn.v_proj,,,,,,
0,k37,37,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8::Params),void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8::Params),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,10099093,10105269,6176,143,38,38,,1,0,3,text_model.encoder.layers.0.self_attn.v_proj,,,,,,
0,k38,38,cuLaunchKernelEx,cuLaunchKernelEx,cpu_leaf,cpu_thread,1,submit,CPU,2286604,1,2286604,10194690,10202475,7785,152,40,,,0,0,4,text_model,,,,,,
0,k39,39,triton_poi_fused__scaled_dot_product_efficient_attention__to_copy_add_arange_constant_pad_nd_expand_full_lt_masked_fill_slice_transpose_unsqueeze_view_1,triton_poi_fused__scaled_dot_product_efficient_attention__to_copy_add_arange_constant_pad_nd_expand_full_lt_masked_fill_slice_transpose_unsqueeze_view_1,gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,10203222,10204054,832,152,40,40,chvruxchrijtmg75nmw5ze5u5qtcam4ncuj664pc2bgzh3wks62g.py,1,0,4,text_model,,,,,,
0,k40,40,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10284979,10295068,10089,44,0,44,,1,0,5,text_model,,,,,,
0,k41,41,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10308283,10313332,5049,46,0,46,,1,0,5,text_model,,,,,,
0,k42,42,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10323020,10342456,19436,48,0,48,,1,0,5,text_model,,,,,,
0,k43,43,cudaStreamIsCapturing,cudaStreamIsCapturing,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10363756,10364858,1102,160,49,,,0,0,5,text_model,,,,,,
0,k44,44,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10368425,10376370,7945,50,0,50,,1,0,5,text_model,,,,,,
0,k45,45,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10378384,10383313,4929,51,0,51,,1,0,5,text_model,,,,,,
0,k46,46,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10387260,10397920,10660,52,0,52,,1,0,5,text_model,,,,,,
0,k47,47,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10400695,10407298,6603,53,0,53,,1,0,5,text_model,,,,,,
0,k48,48,cudaLaunchKernel,cudaLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2286604,1,2286604,10412297,10421394,9097,175,49,,,0,0,5,text_model,,,,,,
0,k49,49,"fmha_cutlassF_bf16_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::bfloat16_t, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)","fmha_cutlassF_bf16_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<cutlass::bfloat16_t, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)",gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,10430424,10438104,7680,175,49,49,,1,0,5,text_model,,,,,,
0,k50,50,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10443435,10457892,14457,55,0,55,,1,0,5,text_model,,,,,,
0,k51,51,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10535016,10535387,371,209,57,,,0,0,6,text_model.encoder.layers.0.self_attn.out_proj,,,,,,
0,k52,52,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2286604,1,2286604,10536379,10536619,240,211,57,,,0,0,6,text_model.encoder.layers.0.self_attn.out_proj,,,,,,
0,k53,53,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2286604,1,2286604,10536800,10543322,6522,212,57,,,0,0,6,text_model.encoder.layers.0.self_attn.out_proj,,,,,,
