step,src_node_id,dst_node_id,edge_kind,submit_exact,wait_kind,wait_exact,wait_source,wait_source_launch_ids,wait_source_correlation_ids
0,k0,k1,thread_order,,,,,,
0,k1,k2,thread_order,,,,,,
0,k2,k3,thread_order,,,,,,
0,k3,k4,thread_order,,,,,,
0,k4,k5,thread_order,,,,,,
0,k5,k6,thread_order,,,,,,
0,k6,k7,thread_order,,,,,,
0,k7,k8,thread_order,,,,,,
0,k8,k9,thread_order,,,,,,
0,k9,k10,thread_order,,,,,,
0,k10,k11,thread_order,,,,,,
0,k11,k12,thread_order,,,,,,
0,k12,k13,thread_order,,,,,,
0,k13,k14,thread_order,,,,,,
0,k14,k15,thread_order,,,,,,
0,k15,k16,thread_order,,,,,,
0,k16,k17,thread_order,,,,,,
0,k17,k18,thread_order,,,,,,
0,k18,k19,thread_order,,,,,,
0,k19,k21,thread_order,,,,,,
0,k21,k22,thread_order,,,,,,
0,k22,k23,thread_order,,,,,,
0,k23,k24,thread_order,,,,,,
0,k24,k26,thread_order,,,,,,
0,k26,k27,thread_order,,,,,,
0,k27,k28,thread_order,,,,,,
0,k28,k30,thread_order,,,,,,
0,k30,k31,thread_order,,,,,,
0,k31,k32,thread_order,,,,,,
0,k32,k34,thread_order,,,,,,
0,k34,k35,thread_order,,,,,,
0,k35,k36,thread_order,,,,,,
0,k36,k38,thread_order,,,,,,
0,k38,k40,thread_order,,,,,,
0,k40,k41,thread_order,,,,,,
0,k41,k42,thread_order,,,,,,
0,k42,k43,thread_order,,,,,,
0,k43,k44,thread_order,,,,,,
0,k44,k45,thread_order,,,,,,
0,k45,k46,thread_order,,,,,,
0,k46,k47,thread_order,,,,,,
0,k47,k48,thread_order,,,,,,
0,k48,k50,thread_order,,,,,,
0,k50,k51,thread_order,,,,,,
0,k51,k52,thread_order,,,,,,
0,k52,k53,thread_order,,,,,,
0,k53,k55,thread_order,,,,,,
0,k55,k57,thread_order,,,,,,
0,k57,k58,thread_order,,,,,,
0,k58,k59,thread_order,,,,,,
0,k59,k61,thread_order,,,,,,
0,k61,k63,thread_order,,,,,,
0,k63,k64,thread_order,,,,,,
0,k64,k66,thread_order,,,,,,
0,k66,k68,thread_order,,,,,,
0,k68,k70,thread_order,,,,,,
0,k70,k71,thread_order,,,,,,
0,k71,k72,thread_order,,,,,,
0,k72,k74,thread_order,,,,,,
0,k74,k75,thread_order,,,,,,
0,k75,k76,thread_order,,,,,,
0,k76,k78,thread_order,,,,,,
0,k78,k79,thread_order,,,,,,
0,k79,k80,thread_order,,,,,,
0,k80,k82,thread_order,,,,,,
0,k82,k84,thread_order,,,,,,
0,k84,k85,thread_order,,,,,,
0,k85,k86,thread_order,,,,,,
0,k86,k87,thread_order,,,,,,
0,k87,k88,thread_order,,,,,,
0,k88,k89,thread_order,,,,,,
0,k89,k90,thread_order,,,,,,
0,k90,k91,thread_order,,,,,,
0,k91,k92,thread_order,,,,,,
0,k92,k94,thread_order,,,,,,
0,k94,k95,thread_order,,,,,,
0,k95,k96,thread_order,,,,,,
0,k96,k97,thread_order,,,,,,
0,k97,k99,thread_order,,,,,,
0,k99,k101,thread_order,,,,,,
0,k101,k102,thread_order,,,,,,
0,k102,k103,thread_order,,,,,,
0,k103,k105,thread_order,,,,,,
0,k105,k107,thread_order,,,,,,
0,k107,k108,thread_order,,,,,,
0,k108,k109,thread_order,,,,,,
0,k109,k112,thread_order,,,,,,
0,k112,k114,thread_order,,,,,,
0,k114,k115,thread_order,,,,,,
0,k115,k116,thread_order,,,,,,
0,k116,k118,thread_order,,,,,,
0,k118,k119,thread_order,,,,,,
0,k119,k120,thread_order,,,,,,
0,k120,k122,thread_order,,,,,,
0,k122,k123,thread_order,,,,,,
0,k123,k124,thread_order,,,,,,
0,k124,k126,thread_order,,,,,,
0,k126,k128,thread_order,,,,,,
0,k128,k129,thread_order,,,,,,
0,k129,k130,thread_order,,,,,,
0,k130,k131,thread_order,,,,,,
0,k131,k132,thread_order,,,,,,
0,k132,k133,thread_order,,,,,,
0,k133,k134,thread_order,,,,,,
0,k134,k135,thread_order,,,,,,
0,k135,k136,thread_order,,,,,,
0,k136,k138,thread_order,,,,,,
0,k138,k139,thread_order,,,,,,
0,k139,k140,thread_order,,,,,,
0,k140,k141,thread_order,,,,,,
0,k141,k143,thread_order,,,,,,
0,k143,k145,thread_order,,,,,,
0,k145,k146,thread_order,,,,,,
0,k146,k147,thread_order,,,,,,
0,k147,k149,thread_order,,,,,,
0,k149,k151,thread_order,,,,,,
0,k151,k152,thread_order,,,,,,
0,k152,k153,thread_order,,,,,,
0,k153,k156,thread_order,,,,,,
0,k156,k158,thread_order,,,,,,
0,k158,k159,thread_order,,,,,,
0,k159,k160,thread_order,,,,,,
0,k160,k162,thread_order,,,,,,
0,k162,k163,thread_order,,,,,,
0,k163,k164,thread_order,,,,,,
0,k164,k166,thread_order,,,,,,
0,k166,k167,thread_order,,,,,,
0,k167,k168,thread_order,,,,,,
0,k168,k170,thread_order,,,,,,
0,k170,k172,thread_order,,,,,,
0,k172,k173,thread_order,,,,,,
0,k173,k174,thread_order,,,,,,
0,k174,k175,thread_order,,,,,,
0,k175,k176,thread_order,,,,,,
0,k176,k177,thread_order,,,,,,
0,k177,k178,thread_order,,,,,,
0,k178,k179,thread_order,,,,,,
0,k179,k180,thread_order,,,,,,
0,k180,k182,thread_order,,,,,,
0,k182,k183,thread_order,,,,,,
0,k183,k184,thread_order,,,,,,
0,k184,k185,thread_order,,,,,,
0,k185,k187,thread_order,,,,,,
0,k187,k189,thread_order,,,,,,
0,k189,k190,thread_order,,,,,,
0,k190,k191,thread_order,,,,,,
0,k191,k193,thread_order,,,,,,
0,k193,k195,thread_order,,,,,,
0,k195,k196,thread_order,,,,,,
0,k196,k197,thread_order,,,,,,
0,k197,k200,thread_order,,,,,,
0,k200,k202,thread_order,,,,,,
0,k202,k203,thread_order,,,,,,
0,k203,k204,thread_order,,,,,,
0,k204,k206,thread_order,,,,,,
