step,node_id,node_n,node_name,op_name,node_kind,resource_kind,resource_id,runtime_role,device_type,device_index,thread_id,stream_id,start_ns,end_ns,duration_ns,correlation_id,linked_correlation_id,rf_id,kernel_file,has_tensor_io,compiled_graph_id,compiled_launch_id,module_path,module_class,module_size_bytes,module_has_parameters,module_parameters_have_data,module_has_buffers,module_buffers_have_data
0,k0,0,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8367356,8387293,19937,2,0,2,,1,,-1,,,,,,,
0,k1,1,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8400368,8408773,8405,3,0,3,,1,,-1,,,,,,,
0,k2,2,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8416347,8421748,5401,4,0,4,,1,,-1,,,,,,,
0,k3,3,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8426947,8429642,2695,6,0,6,,1,,-1,,,,,,,
0,k4,4,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8446464,8452525,6061,7,0,7,,1,,-1,,,,,,,
0,k5,5,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8458186,8463345,5159,8,0,8,,1,,-1,,,,,,,
0,k6,6,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8465209,8493983,28774,9,0,9,,1,,-1,,,,,,,
0,k7,7,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8497970,8500024,2054,11,0,11,,1,,-1,,,,,,,
0,k8,8,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8747847,8756293,8446,12,0,12,,1,,-1,,,,,,,
0,k9,9,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8760731,8766071,5340,13,0,13,,1,,-1,,,,,,,
0,k10,10,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8768256,8771542,3286,14,0,14,,1,,-1,,,,,,,
0,k11,11,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8775329,8777182,1853,16,0,16,,1,,-1,,,,,,,
0,k12,12,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8787461,8792651,5190,17,0,17,,1,,-1,,,,,,,
0,k13,13,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8795797,8811296,15499,18,0,18,,1,,-1,,,,,,,
0,k14,14,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8813340,8816636,3296,19,0,19,,1,,-1,,,,,,,
0,k15,15,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8819982,8821595,1613,21,0,21,,1,,-1,,,,,,,
0,k16,16,aten::empty_strided,aten::empty_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,8857252,10298577,1441325,24,0,24,,1,,-1,,,,,,,
0,k17,17,cudaStreamIsCapturing,cudaStreamIsCapturing,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,10312754,10313946,1192,12,25,,,0,,-1,,,,,,,
0,k18,18,cudaMemcpyAsync,cudaMemcpyAsync,cpu_leaf,cpu_thread,1,submit,CPU,2050392,1,2050392,10314898,10323704,8806,14,25,,,0,,-1,,,,,,,
0,k19,19,cudaStreamSynchronize,cudaStreamSynchronize,cpu_leaf,cpu_thread,1,wait,CPU,2050392,1,2050392,10324075,10396050,71975,15,25,,,0,,-1,,,,,,,
0,k20,20,Memcpy HtoD (Pageable -> Device),Memcpy HtoD (Pageable -> Device),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,10390890,10391882,992,14,25,25,,1,,-1,,,,,,,
0,k21,21,TorchDynamo Cache Lookup,TorchDynamo Cache Lookup,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,10476119,10533086,56967,26,0,26,,1,,-1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k22,22,Pregraph bytecode,Pregraph bytecode,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,10546932,10588850,41918,28,0,28,,1,,-1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k23,23,AOTDispatcher Runtime Wrapper Prologue,AOTDispatcher Runtime Wrapper Prologue,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,10609038,10624026,14988,29,0,29,,1,,-1,text_encoder._orig_mod,CLIPTextModel,0,0,0,0,0
0,k24,24,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2050392,1,2050392,10793853,10805866,12013,37,32,,,0,0,0,text_model,,,,,,
0,k25,25,triton_per_fused_add_embedding_native_layer_norm_0,triton_per_fused_add_embedding_native_layer_norm_0,gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,10806797,10809069,2272,37,32,32,cva2vhd4j7jksvdr52imyjmkjai3amj3iquc6i7r3aqeryh4tgbn.py,1,0,0,text_model,,,,,,
0,k26,26,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,10877620,10877991,371,73,34,,,0,0,1,text_model.encoder.layers.0.self_attn.q_proj,,,,,,
0,k27,27,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,10879343,10879604,261,75,34,,,0,0,1,text_model.encoder.layers.0.self_attn.q_proj,,,,,,
0,k28,28,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2050392,1,2050392,10879804,10885845,6041,76,34,,,0,0,1,text_model.encoder.layers.0.self_attn.q_proj,,,,,,
0,k29,29,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8::Params),void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8::Params),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,10887182,10892366,5184,76,34,34,,1,0,1,text_model.encoder.layers.0.self_attn.q_proj,,,,,,
0,k30,30,cudaDeviceGetAttribute,cudaDeviceGetAttribute,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,10944134,10944395,261,114,36,,,0,0,2,text_model.encoder.layers.0.self_attn.k_proj,,,,,,
0,k31,31,cudaMemsetAsync,cudaMemsetAsync,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,2050392,1,2050392,10944986,10945136,150,116,36,,,0,0,2,text_model.encoder.layers.0.self_attn.k_proj,,,,,,
0,k32,32,cuLaunchKernel,cuLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,2050392,1,2050392,10945277,10950276,4999,117,36,,,0,0,2,text_model.encoder.layers.0.self_attn.k_proj,,,,,,
