event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
0,1,sdxl_turbo_run,,sdxl_turbo_run,205.365,799194.378,798989.013,18140.476000000373,798989.013,0.0,142054.72299999796,1,0,CPU,2277570,2277570,-1,-1,7,0,,227,0,[],[],False,False,False,True,0,20,-4733680,32768,-17978880,[[]],[null],{},[],"{""user_annotation_args"": ""sample_step=0 phase=text_to_image component=sdxl_pipeline device=cuda:0 fusion=inductor""}"
1,2,aten::empty,,aten::empty,9116.433,9144.926,28.492999999998574,28.492999999998574,28.492999999998574,0,0,1,0,CPU,2277570,2277570,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,616,616,0,0,"[[],[],[],[],[],[]]","[[1,77],4,0,null,false,null]",{},[],
2,3,aten::to,,aten::to,9160.946,9170.213,9.266999999999825,9.266999999999825,9.266999999999825,0,0,1,0,CPU,2277570,2277570,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
3,4,aten::lift_fresh,,aten::lift_fresh,9176.896,9184.159,7.2629999999990105,7.2629999999990105,7.2629999999990105,0,0,1,0,CPU,2277570,2277570,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
4,5,aten::detach_,,aten::detach_,9187.375,9199.749,12.373999999999796,8.486000000000786,12.373999999999796,0,0,1,0,CPU,2277570,2277570,-1,-1,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
5,6,detach_,,detach_,9190.01,9193.898,3.8879999999990105,3.8879999999990105,3.8879999999990105,0,0,1,0,CPU,2277570,2277570,-1,-1,0,2,5,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
6,7,aten::empty,,aten::empty,9213.113,9219.836,6.722999999999956,6.722999999999956,6.722999999999956,0,0,1,0,CPU,2277570,2277570,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,616,616,0,0,"[[],[],[],[],[],[]]","[[1,77],4,0,null,false,null]",{},[],
7,8,aten::to,,aten::to,9225.607,9231.438,5.831000000000131,5.831000000000131,5.831000000000131,0,0,1,0,CPU,2277570,2277570,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
8,9,aten::lift_fresh,,aten::lift_fresh,9233.642,9261.895,28.25300000000061,28.25300000000061,28.25300000000061,0,0,1,0,CPU,2277570,2277570,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
9,10,aten::detach_,,aten::detach_,9264.209,9272.434,8.224999999998545,6.110999999998967,8.224999999998545,0,0,1,0,CPU,2277570,2277570,-1,-1,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
