step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,5,8,40,cpu,,"[1,5]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,5,8,40,cpu,,"[1,5]",3,3
0,2,cache_21_22,t2,CONTEXT,21,22,0,5,8,40,cuda:0,,"[1,5]",2,3
0,3,param_25_26,t3,WEIGHT,25,26,0,525336576,2,1050673152,cuda:0,,"[128256,4096]",0,52
0,4,cache_29_22,t4,CONTEXT,29,22,0,5,8,40,cuda:0,,[5],1,1
0,5,cache_32_33,t5,CONTEXT,32,33,0,0,2,0,cuda:0,,[0],1,1
0,6,cache_32_35,t6,CONTEXT,32,35,0,20480,2,40960,cuda:0,,"[5,4096]",2,1
0,7,cache_37_35,t7,CONTEXT,37,35,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,2
0,8,cache_40_33,t8,CONTEXT,40,33,0,0,8,0,cuda:0,,[0],1,2
0,9,cache_40_43,t9,CONTEXT,40,43,0,5,8,40,cuda:0,,[5],2,1
0,10,param_45_46,t10,WEIGHT,45,46,0,1,8,8,cpu,,[],0,1
0,11,cache_47_48,t11,CONTEXT,47,48,0,5,8,40,cuda:0,,[5],1,1
0,12,cache_51_48,t12,CONTEXT,51,48,0,5,8,40,cuda:0,,"[1,5]",1,1
0,13,param_53_54,t13,WEIGHT,53,54,0,64,4,256,cuda:0,,[64],0,32
0,14,cache_56_54,t14,CONTEXT,56,54,0,64,4,256,cuda:0,,"[1,64]",1,1
0,15,cache_59_54,t15,CONTEXT,59,54,0,64,4,256,cuda:0,,"[1,64,1]",2,2
0,16,cache_63_54,t16,CONTEXT,63,54,0,64,4,256,cuda:0,,"[1,64,1]",3,3
0,17,cache_67_48,t17,CONTEXT,67,48,0,5,8,40,cuda:0,,"[1,1,5]",1,1
0,18,cache_71_43,t18,CONTEXT,71,43,0,5,4,20,cuda:0,,"[1,1,5]",3,3
0,19,cache_78_54,t19,CONTEXT,78,54,0,64,4,256,cuda:0,,"[1,64,1]",1,1
0,20,cache_81_54,t20,CONTEXT,81,54,0,64,4,256,cuda:0,,"[1,64,1]",1,1
0,21,cache_84_43,t21,CONTEXT,84,43,0,5,4,20,cuda:0,,"[1,1,5]",1,1
0,22,cache_87_43,t22,CONTEXT,87,43,0,5,4,20,cuda:0,,"[1,1,5]",1,1
0,23,cache_89_90,t23,CONTEXT,89,90,0,320,4,1280,cuda:0,,"[1,64,5]",1,1
0,24,cache_92_90,t24,CONTEXT,92,90,0,320,4,1280,cuda:0,,"[1,64,5]",1,1
0,25,cache_95_90,t25,CONTEXT,95,90,0,320,4,1280,cuda:0,,"[1,5,64]",1,1
0,26,cache_97_98,t26,CONTEXT,97,98,0,640,4,2560,cuda:0,,"[1,5,128]",1,2
0,27,cache_100_101,t27,CONTEXT,100,101,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,28,param_103_104,t28,WEIGHT,103,104,0,1,8,8,cpu,,[],0,1
0,29,cache_105_106,t29,CONTEXT,105,106,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,30,cache_108_101,t30,CONTEXT,108,101,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,31,param_110_104,t31,WEIGHT,110,104,0,1,8,8,cpu,,[],0,1
0,32,cache_111_112,t32,CONTEXT,111,112,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,33,cache_116_101,t33,CONTEXT,116,101,0,640,2,1280,cuda:0,,"[1,5,128]",2,33
0,34,cache_121_122,t34,CONTEXT,121,122,0,640,2,1280,cuda:0,,"[1,5,128]",2,33
0,35,cache_127_128,t35,CONTEXT,127,128,0,20480,4,81920,cuda:0,,"[1,5,4096]",3,5
0,36,cache_133_134,t36,CONTEXT,133,134,0,20480,4,81920,cuda:0,,"[1,5,4096]",1,1
0,37,cache_136_43,t37,CONTEXT,136,43,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,38,param_138_139,t38,WEIGHT,138,139,0,1,8,8,cpu,,[],0,1
0,39,cache_140_90,t39,CONTEXT,140,90,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,40,cache_142_143,t40,CONTEXT,142,143,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,41,cache_145_134,t41,CONTEXT,145,134,0,20480,4,81920,cuda:0,,"[1,5,4096]",1,1
0,42,cache_149_128,t42,CONTEXT,149,128,0,20480,2,40960,cuda:0,,"[1,5,4096]",2,2
0,43,param_152_153,t43,WEIGHT,152,153,0,4096,2,8192,cuda:0,,[4096],0,32
0,44,cache_154_155,t44,CONTEXT,154,155,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,3
0,45,param_157_158,t45,WEIGHT,157,158,0,16777216,2,33554432,cuda:0,,"[4096,4096]",0,32
0,46,cache_162_158,t46,CONTEXT,162,158,0,16777216,2,33554432,cuda:0,,"[4096,4096]",1,1
0,47,cache_166_155,t47,CONTEXT,166,155,0,20480,2,40960,cuda:0,,"[5,4096]",1,1
0,48,cache_168_128,t48,CONTEXT,168,128,0,20480,2,40960,cuda:0,,"[5,4096]",1,1
0,49,cache_170_128,t49,CONTEXT,170,128,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,1
0,50,cache_172_128,t50,CONTEXT,172,128,0,20480,2,40960,cuda:0,,"[1,5,32,128]",1,1
0,51,cache_175_128,t51,CONTEXT,175,128,0,20480,2,40960,cuda:0,,"[1,32,5,128]",1,3
0,52,param_177_178,t52,WEIGHT,177,178,0,4194304,2,8388608,cuda:0,,"[1024,4096]",0,32
0,53,cache_182_178,t53,CONTEXT,182,178,0,4194304,2,8388608,cuda:0,,"[4096,1024]",1,2
0,54,cache_186_155,t54,CONTEXT,186,155,0,20480,2,40960,cuda:0,,"[5,4096]",1,2
0,55,cache_188_134,t55,CONTEXT,188,134,0,5120,2,10240,cuda:0,,"[5,1024]",2,1
0,56,cache_190_134,t56,CONTEXT,190,134,0,5120,2,10240,cuda:0,,"[1,5,1024]",1,1
0,57,cache_192_134,t57,CONTEXT,192,134,0,5120,2,10240,cuda:0,,"[1,5,8,128]",1,1
0,58,cache_195_134,t58,CONTEXT,195,134,0,5120,2,10240,cuda:0,,"[1,8,5,128]",1,3
0,59,param_197_198,t59,WEIGHT,197,198,0,4194304,2,8388608,cuda:0,,"[1024,4096]",0,32
0,60,cache_202_198,t60,CONTEXT,202,198,0,4194304,2,8388608,cuda:0,,"[4096,1024]",1,2
0,61,cache_206_155,t61,CONTEXT,206,155,0,20480,2,40960,cuda:0,,"[5,4096]",1,2
0,62,cache_208_209,t62,CONTEXT,208,209,0,5120,2,10240,cuda:0,,"[5,1024]",2,1
0,63,cache_211_209,t63,CONTEXT,211,209,0,5120,2,10240,cuda:0,,"[1,5,1024]",1,1
