step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,5,8,40,cpu,,"[1,5]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,5,8,40,cpu,,"[1,5]",3,3
0,2,cache_21_22,t2,CONTEXT,21,22,0,5,8,40,cuda:0,,"[1,5]",2,3
0,3,param_25_26,t3,WEIGHT,25,26,0,525336576,2,1050673152,cuda:0,,"[128256,4096]",0,1
0,4,cache_29_22,t4,CONTEXT,29,22,0,5,8,40,cuda:0,,[5],1,1
0,5,cache_32_33,t5,CONTEXT,32,33,0,0,2,0,cuda:0,,[0],1,1
0,6,cache_32_35,t6,CONTEXT,32,35,0,20480,2,40960,cuda:0,,"[5,4096]",2,1
0,7,cache_37_35,t7,CONTEXT,37,35,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,2
0,8,cache_40_33,t8,CONTEXT,40,33,0,0,8,0,cuda:0,,[0],1,2
0,9,cache_40_43,t9,CONTEXT,40,43,0,5,8,40,cuda:0,,[5],2,1
0,10,cache_46_43,t10,CONTEXT,46,43,0,5,8,40,cuda:0,,"[1,5]",1,1
0,11,param_48_49,t11,WEIGHT,48,49,0,64,4,256,cuda:0,,[64],0,1
0,12,cache_51_49,t12,CONTEXT,51,49,0,64,4,256,cuda:0,,"[1,64]",1,1
0,13,cache_54_49,t13,CONTEXT,54,49,0,64,4,256,cuda:0,,"[1,64,1]",2,2
0,14,cache_58_49,t14,CONTEXT,58,49,0,64,4,256,cuda:0,,"[1,64,1]",2,2
0,15,cache_61_43,t15,CONTEXT,61,43,0,5,8,40,cuda:0,,"[1,1,5]",1,1
0,16,cache_65_66,t16,CONTEXT,65,66,0,5,4,20,cuda:0,,"[1,1,5]",3,3
0,17,cache_73_49,t17,CONTEXT,73,49,0,64,4,256,cuda:0,,"[1,64,1]",1,1
0,18,cache_76_49,t18,CONTEXT,76,49,0,64,4,256,cuda:0,,"[1,64,1]",1,1
0,19,cache_79_66,t19,CONTEXT,79,66,0,5,4,20,cuda:0,,"[1,1,5]",1,1
0,20,cache_82_66,t20,CONTEXT,82,66,0,5,4,20,cuda:0,,"[1,1,5]",1,1
0,21,cache_84_85,t21,CONTEXT,84,85,0,320,4,1280,cuda:0,,"[1,64,5]",1,1
0,22,cache_87_85,t22,CONTEXT,87,85,0,320,4,1280,cuda:0,,"[1,64,5]",1,1
0,23,cache_90_85,t23,CONTEXT,90,85,0,320,4,1280,cuda:0,,"[1,5,64]",1,1
0,24,cache_92_93,t24,CONTEXT,92,93,0,640,4,2560,cuda:0,,"[1,5,128]",1,2
0,25,cache_95_96,t25,CONTEXT,95,96,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,26,cache_98_99,t26,CONTEXT,98,99,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,27,param_101_102,t27,WEIGHT,101,102,0,1,8,8,cpu,,[],0,1
0,28,cache_103_104,t28,CONTEXT,103,104,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,29,param_106_107,t29,WEIGHT,106,107,0,1,8,8,cpu,,[],0,1
0,30,cache_108_96,t30,CONTEXT,108,96,0,640,4,2560,cuda:0,,"[1,5,128]",1,1
0,31,cache_112_99,t31,CONTEXT,112,99,0,640,2,1280,cuda:0,,"[1,5,128]",2,33
0,32,cache_117_118,t32,CONTEXT,117,118,0,640,2,1280,cuda:0,,"[1,5,128]",2,33
0,33,cache_123_124,t33,CONTEXT,123,124,0,20480,4,81920,cuda:0,,"[1,5,4096]",3,5
0,34,cache_129_130,t34,CONTEXT,129,130,0,20480,4,81920,cuda:0,,"[1,5,4096]",1,1
0,35,cache_132_133,t35,CONTEXT,132,133,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,36,param_135_136,t36,WEIGHT,135,136,0,1,8,8,cpu,,[],0,1
0,37,cache_137_138,t37,CONTEXT,137,138,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,38,cache_140_104,t38,CONTEXT,140,104,0,5,4,20,cuda:0,,"[1,5,1]",1,1
0,39,cache_142_130,t39,CONTEXT,142,130,0,20480,4,81920,cuda:0,,"[1,5,4096]",1,1
0,40,cache_146_124,t40,CONTEXT,146,124,0,20480,2,40960,cuda:0,,"[1,5,4096]",2,2
0,41,param_149_150,t41,WEIGHT,149,150,0,4096,2,8192,cuda:0,,[4096],0,1
0,42,cache_151_152,t42,CONTEXT,151,152,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,3
0,43,param_154_155,t43,WEIGHT,154,155,0,16777216,2,33554432,cuda:0,,"[4096,4096]",0,1
0,44,cache_159_155,t44,CONTEXT,159,155,0,16777216,2,33554432,cuda:0,,"[4096,4096]",1,1
0,45,cache_163_152,t45,CONTEXT,163,152,0,20480,2,40960,cuda:0,,"[5,4096]",1,1
0,46,cache_165_124,t46,CONTEXT,165,124,0,20480,2,40960,cuda:0,,"[5,4096]",1,1
0,47,cache_167_124,t47,CONTEXT,167,124,0,20480,2,40960,cuda:0,,"[1,5,4096]",1,1
0,48,cache_169_124,t48,CONTEXT,169,124,0,20480,2,40960,cuda:0,,"[1,5,32,128]",1,1
0,49,cache_172_124,t49,CONTEXT,172,124,0,20480,2,40960,cuda:0,,"[1,32,5,128]",1,3
0,50,param_174_175,t50,WEIGHT,174,175,0,4194304,2,8388608,cuda:0,,"[1024,4096]",0,1
0,51,cache_179_175,t51,CONTEXT,179,175,0,4194304,2,8388608,cuda:0,,"[4096,1024]",1,2
0,52,cache_183_152,t52,CONTEXT,183,152,0,20480,2,40960,cuda:0,,"[5,4096]",1,2
0,53,cache_185_130,t53,CONTEXT,185,130,0,5120,2,10240,cuda:0,,"[5,1024]",2,1
0,54,cache_187_130,t54,CONTEXT,187,130,0,5120,2,10240,cuda:0,,"[1,5,1024]",1,1
0,55,cache_189_130,t55,CONTEXT,189,130,0,5120,2,10240,cuda:0,,"[1,5,8,128]",1,1
0,56,cache_192_130,t56,CONTEXT,192,130,0,5120,2,10240,cuda:0,,"[1,8,5,128]",1,3
0,57,param_194_195,t57,WEIGHT,194,195,0,4194304,2,8388608,cuda:0,,"[1024,4096]",0,1
0,58,cache_199_195,t58,CONTEXT,199,195,0,4194304,2,8388608,cuda:0,,"[4096,1024]",1,2
0,59,cache_203_152,t59,CONTEXT,203,152,0,20480,2,40960,cuda:0,,"[5,4096]",1,2
0,60,cache_205_206,t60,CONTEXT,205,206,0,5120,2,10240,cuda:0,,"[5,1024]",2,1
0,61,cache_208_206,t61,CONTEXT,208,206,0,5120,2,10240,cuda:0,,"[1,5,1024]",1,1
0,62,cache_210_206,t62,CONTEXT,210,206,0,5120,2,10240,cuda:0,,"[1,5,8,128]",1,1
