event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
0,1,llama_run,,llama_run,256.186,359675.473,359419.287,19757.295999999915,359419.287,0.0,35062.31500000092,1,0,CPU,1710104,1710104,-1,-1,7,0,,1965,0,[],[],False,False,False,True,0,0,-80,8520704,-62227968,[[]],[null],{},[],"{""user_annotation_args"": ""sample_step=0 phase=text_generation component=llama8b device=cuda:0 fusion=none""}"
1,2,aten::empty,,aten::empty,1073.384,1102.188,28.804000000000087,28.804000000000087,28.804000000000087,0,0,1,0,CPU,1710104,1710104,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,40,40,0,0,"[[],[],[],[],[],[]]","[[1,5],4,0,null,false,null]",{},[],
2,3,aten::to,,aten::to,1121.625,1133.437,11.811999999999898,11.811999999999898,11.811999999999898,0,0,1,0,CPU,1710104,1710104,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
3,4,aten::lift_fresh,,aten::lift_fresh,1141.161,1146.451,5.289999999999964,5.289999999999964,5.289999999999964,0,0,1,0,CPU,1710104,1710104,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
4,5,aten::detach_,,aten::detach_,1160.297,1187.107,26.809999999999945,11.191000000000031,26.809999999999945,0,0,1,0,CPU,1710104,1710104,-1,0,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
5,6,detach_,,detach_,1163.794,1179.413,15.618999999999915,15.618999999999915,15.618999999999915,0,0,1,0,CPU,1710104,1710104,-1,-1,0,2,5,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
6,7,aten::empty,,aten::empty,1206.403,1213.166,6.76299999999992,6.76299999999992,6.76299999999992,0,0,1,0,CPU,1710104,1710104,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,40,40,0,0,"[[],[],[],[],[],[]]","[[1,5],4,0,null,false,null]",{},[],
7,8,aten::to,,aten::to,1216.692,1221.892,5.2000000000000455,5.2000000000000455,5.2000000000000455,0,0,1,0,CPU,1710104,1710104,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
8,9,aten::lift_fresh,,aten::lift_fresh,1223.886,1251.257,27.371000000000095,27.371000000000095,27.371000000000095,0,0,1,0,CPU,1710104,1710104,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
9,10,aten::detach_,,aten::detach_,1253.561,1260.845,7.2840000000001055,5.160000000000082,7.2840000000001055,0,0,1,0,CPU,1710104,1710104,-1,0,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,5]]",[null],{},[],
