step,node_id,node_n,node_name,op_name,node_kind,resource_kind,resource_id,runtime_role,device_type,device_index,thread_id,stream_id,start_ns,end_ns,duration_ns,correlation_id,linked_correlation_id,rf_id,kernel_file,has_tensor_io,compiled_graph_id,compiled_launch_id,module_path,module_class,module_size_bytes,module_has_parameters,module_parameters_have_data,module_has_buffers,module_buffers_have_data
0,k0,0,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8389637,8412650,23013,2,0,2,,1,,-1,,,,,,,
0,k1,1,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8435412,8445221,9809,3,0,3,,1,,-1,,,,,,,
0,k2,2,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8452975,8458355,5380,4,0,4,,1,,-1,,,,,,,
0,k3,3,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8464577,8468043,3466,6,0,6,,1,,-1,,,,,,,
0,k4,4,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8485947,8492669,6722,7,0,7,,1,,-1,,,,,,,
0,k5,5,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8499572,8505003,5431,8,0,8,,1,,-1,,,,,,,
0,k6,6,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8507327,8536301,28974,9,0,9,,1,,-1,,,,,,,
0,k7,7,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8541100,8543194,2094,11,0,11,,1,,-1,,,,,,,
0,k8,8,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8740904,8749960,9056,12,0,12,,1,,-1,,,,,,,
0,k9,9,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8754960,8760600,5640,13,0,13,,1,,-1,,,,,,,
0,k10,10,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8763115,8766872,3757,14,0,14,,1,,-1,,,,,,,
0,k11,11,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8771320,8773454,2134,16,0,16,,1,,-1,,,,,,,
0,k12,12,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1161124,1,1161124,8784104,8789625,5521,17,0,17,,1,,-1,,,,,,,
