step,node_id,node_n,node_name,op_name,node_kind,resource_kind,resource_id,runtime_role,device_type,device_index,thread_id,stream_id,start_ns,end_ns,duration_ns,correlation_id,linked_correlation_id,rf_id,kernel_file,has_tensor_io,compiled_graph_id,compiled_launch_id,module_path,module_class,module_size_bytes,module_has_parameters,module_parameters_have_data,module_has_buffers,module_buffers_have_data
0,k0,0,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1073384,1102188,28804,2,0,2,,1,,-1,,,,,,,
0,k1,1,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1121625,1133437,11812,3,0,3,,1,,-1,,,,,,,
0,k2,2,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1141161,1146451,5290,4,0,4,,1,,-1,,,,,,,
0,k3,3,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1163794,1179413,15619,6,0,6,,1,,-1,,,,,,,
0,k4,4,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1206403,1213166,6763,7,0,7,,1,,-1,,,,,,,
0,k5,5,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1216692,1221892,5200,8,0,8,,1,,-1,,,,,,,
0,k6,6,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1223886,1251257,27371,9,0,9,,1,,-1,,,,,,,
0,k7,7,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1255285,1257409,2124,11,0,11,,1,,-1,,,,,,,
0,k8,8,aten::empty_strided,aten::empty_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,1300209,2697101,1396892,14,0,14,,1,,-1,,,,,,,
0,k9,9,cudaStreamIsCapturing,cudaStreamIsCapturing,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,2714163,2717850,3687,12,15,,,0,,-1,,,,,,,
0,k10,10,cudaMemcpyAsync,cudaMemcpyAsync,cpu_leaf,cpu_thread,1,submit,CPU,1710104,1,1710104,2719373,2730754,11381,14,15,,,0,,-1,,,,,,,
0,k11,11,cudaStreamSynchronize,cudaStreamSynchronize,cpu_leaf,cpu_thread,1,wait,CPU,1710104,1,1710104,2731265,2810273,79008,15,15,,,0,,-1,,,,,,,
0,k12,12,Memcpy HtoD (Pageable -> Device),Memcpy HtoD (Pageable -> Device),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,2801404,2802268,864,14,15,15,,1,,-1,,,,,,,
0,k13,13,aten::view,aten::view,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,2993245,3003023,9778,18,0,18,,1,,-1,model.embed_tokens,Embedding,1050673152,1,1,0,0
0,k14,14,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,3033981,3057595,23614,20,0,20,,1,,-1,model.embed_tokens,Embedding,1050673152,1,1,0,0
0,k15,15,aten::resize_,aten::resize_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,3068526,3079807,11281,21,0,21,,1,,-1,model.embed_tokens,Embedding,1050673152,1,1,0,0
0,k16,16,cudaLaunchKernel,cudaLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,1710104,1,1710104,3104673,43818102,40713429,33,19,,,0,,-1,model.embed_tokens,Embedding,1050673152,1,1,0,0
0,k17,17,Runtime Triggered Module Loading,Runtime Triggered Module Loading,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,-1,1,0,3106697,27935229,24828532,19,0,,,0,,-1,model.embed_tokens,Embedding,1050673152,1,1,0,0
0,k18,18,Runtime Triggered Module Loading,Runtime Triggered Module Loading,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,-1,1,0,27943695,40892992,12949297,19,0,,,0,,-1,model.embed_tokens,Embedding,1050673152,1,1,0,0
0,k19,19,Lazy Function Loading,Lazy Function Loading,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,-1,1,0,40896889,40939779,42890,19,0,,,0,,-1,model.embed_tokens,Embedding,1050673152,1,1,0,0
0,k20,20,"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)","void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,43815393,43820897,5504,33,19,19,,1,,-1,,,,,,,
0,k21,21,aten::view,aten::view,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,43884296,43896549,12253,22,0,22,,1,,-1,model.embed_tokens,Embedding,1050673152,1,1,0,0
0,k22,22,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,44073019,44090852,17833,24,0,24,,1,,-1,model,LlamaModel,0,0,0,0,0
0,k23,23,aten::resize_,aten::resize_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,44115148,44130376,15228,26,0,26,,1,,-1,model,LlamaModel,0,0,0,0,0
0,k24,24,cudaLaunchKernel,cudaLaunchKernel,cpu_leaf,cpu_thread,1,submit,CPU,1710104,1,1710104,44138421,45581981,1443560,50,25,,,0,,-1,model,LlamaModel,0,0,0,0,0
0,k25,25,Runtime Triggered Module Loading,Runtime Triggered Module Loading,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,-1,1,0,44140555,45235773,1095218,25,0,,,0,,-1,model,LlamaModel,0,0,0,0,0
0,k26,26,Runtime Triggered Module Loading,Runtime Triggered Module Loading,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,-1,1,0,45236665,45563236,326571,25,0,,,0,,-1,model,LlamaModel,0,0,0,0,0
0,k27,27,Lazy Function Loading,Lazy Function Loading,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,-1,1,0,45564648,45572713,8065,25,0,,,0,,-1,model,LlamaModel,0,0,0,0,0
0,k28,28,"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)","void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,45580460,45581548,1088,50,25,25,,1,,-1,,,,,,,
0,k29,29,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,45666258,45677269,11011,28,0,28,,1,,-1,model,LlamaModel,0,0,0,0,0
0,k30,30,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,45803154,45809306,6152,30,0,30,,1,,-1,model.rotary_emb,LlamaRotaryEmbedding,256,0,0,1,1
0,k31,31,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,45821839,45826698,4859,32,0,32,,1,,-1,model.rotary_emb,LlamaRotaryEmbedding,256,0,0,1,1
0,k32,32,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,45839893,45846435,6542,33,0,33,,1,,-1,model.rotary_emb,LlamaRotaryEmbedding,256,0,0,1,1
0,k33,33,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,45870661,45886130,15469,35,0,35,,1,,-1,model.rotary_emb,LlamaRotaryEmbedding,256,0,0,1,1
0,k34,34,aten::as_strided,aten::as_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,1710104,1,1710104,45902801,45907570,4769,37,0,37,,1,,-1,model.rotary_emb,LlamaRotaryEmbedding,256,0,0,1,1
