event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
0,1,sdxl_turbo_run,,sdxl_turbo_run,273.092,504493.053,504219.961,90550.23399999714,504219.961,0.0,26623.119999996547,1,0,CPU,1161124,1161124,-1,-1,7,0,,6204,0,[],[],False,False,False,True,0,8,-211312,8522240,-1299503616,[[]],[null],{},[],"{""user_annotation_args"": ""sample_step=0 phase=text_to_image component=sdxl_pipeline device=cuda:0 fusion=none""}"
1,2,aten::empty,,aten::empty,8389.637,8412.65,23.01299999999901,23.01299999999901,23.01299999999901,0,0,1,0,CPU,1161124,1161124,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,616,616,0,0,"[[],[],[],[],[],[]]","[[1,77],4,0,null,false,null]",{},[],
2,3,aten::to,,aten::to,8435.412,8445.221,9.808999999999287,9.808999999999287,9.808999999999287,0,0,1,0,CPU,1161124,1161124,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
3,4,aten::lift_fresh,,aten::lift_fresh,8452.975,8458.355,5.3799999999992,5.3799999999992,5.3799999999992,0,0,1,0,CPU,1161124,1161124,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
4,5,aten::detach_,,aten::detach_,8461.922,8473.033,11.110999999998967,7.644999999998618,11.110999999998967,0,0,1,0,CPU,1161124,1161124,-1,-1,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
5,6,detach_,,detach_,8464.577,8468.043,3.4660000000003492,3.4660000000003492,3.4660000000003492,0,0,1,0,CPU,1161124,1161124,-1,-1,0,2,5,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
6,7,aten::empty,,aten::empty,8485.947,8492.669,6.721999999999753,6.721999999999753,6.721999999999753,0,0,1,0,CPU,1161124,1161124,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,616,616,0,0,"[[],[],[],[],[],[]]","[[1,77],4,0,null,false,null]",{},[],
7,8,aten::to,,aten::to,8499.572,8505.003,5.431000000000495,5.431000000000495,5.431000000000495,0,0,1,0,CPU,1161124,1161124,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
8,9,aten::lift_fresh,,aten::lift_fresh,8507.327,8536.301,28.97400000000016,28.97400000000016,28.97400000000016,0,0,1,0,CPU,1161124,1161124,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
9,10,aten::detach_,,aten::detach_,8538.936,8547.001,8.06500000000051,5.971000000001368,8.06500000000051,0,0,1,0,CPU,1161124,1161124,-1,-1,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
10,11,detach_,,detach_,8541.1,8543.194,2.0939999999991414,2.0939999999991414,2.0939999999991414,0,0,1,0,CPU,1161124,1161124,-1,-1,0,2,10,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
