step,node_id,node_n,node_name,op_name,node_kind,resource_kind,resource_id,runtime_role,device_type,device_index,thread_id,stream_id,start_ns,end_ns,duration_ns,correlation_id,linked_correlation_id,rf_id,kernel_file,has_tensor_io,compiled_graph_id,compiled_launch_id,module_path,module_class,module_size_bytes,module_has_parameters,module_parameters_have_data,module_has_buffers,module_buffers_have_data
0,k0,0,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1462962,1527742,64780,2,0,2,,1,,-1,,,,,,,
0,k1,1,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1571792,1597062,25270,3,0,3,,1,,-1,,,,,,,
0,k2,2,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1612272,1625582,13310,4,0,4,,1,,-1,,,,,,,
0,k3,3,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1646302,1655502,9200,6,0,6,,1,,-1,,,,,,,
0,k4,4,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1718882,1740872,21990,7,0,7,,1,,-1,,,,,,,
0,k5,5,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1752842,1769752,16910,8,0,8,,1,,-1,,,,,,,
0,k6,6,aten::lift_fresh,aten::lift_fresh,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1776922,1870572,93650,9,0,9,,1,,-1,,,,,,,
0,k7,7,detach_,detach_,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1885741,1891601,5860,11,0,11,,1,,-1,,,,,,,
0,k8,8,aten::empty_strided,aten::empty_strided,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,1998312,3589301,1590989,14,0,14,,1,,-1,,,,,,,
0,k9,9,cudaStreamIsCapturing,cudaStreamIsCapturing,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,3630351,3637581,7230,12,15,,,0,,-1,,,,,,,
0,k10,10,cudaMemcpyAsync,cudaMemcpyAsync,cpu_leaf,cpu_thread,1,submit,CPU,4136744,1,4136744,3640281,3675401,35120,14,15,,,0,,-1,,,,,,,
0,k11,11,Memcpy HtoD (Pageable -> Device),Memcpy HtoD (Pageable -> Device),gpu_runtime,gpu_stream,7,gpu_runtime,CUDA,0,1,7,3674650,3675098,448,14,15,15,,1,,-1,,,,,,,
0,k12,12,cudaStreamSynchronize,cudaStreamSynchronize,cpu_leaf,cpu_thread,1,wait,CPU,4136744,1,4136744,3676341,3685821,9480,15,15,,,0,,-1,,,,,,,
0,k13,13,TorchDynamo Cache Lookup,TorchDynamo Cache Lookup,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,4075831,5193920,1118089,16,0,16,,1,,-1,,,,,,,
0,k14,14,aten::empty,aten::empty,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,5339660,5368990,29330,19,0,19,,1,,-1,,,,,,,
0,k15,15,aten::to,aten::to,cpu_leaf,cpu_thread,1,cpu_leaf,CPU,4136744,1,4136744,5379820,5423800,43980,20,0,20,,1,,-1,,,,,,,
