event_index,id,name,overload_name,trace_name,start_us,end_us,duration_us,self_cpu_time_total_us,cpu_time_total_us,self_device_time_total_us,device_time_total_us,thread,fwd_thread,device_type,device_index,device_resource_id,node_id,sequence_nr,scope,depth,cpu_parent_id,cpu_children,kernel_count,kernel_names,kernel_durations_us,is_async,is_remote,is_legacy,is_user_annotation,flops,cpu_memory_usage,self_cpu_memory_usage,device_memory_usage,self_device_memory_usage,input_shapes,concrete_inputs,kwinputs,stack,metadata_json
0,1,sdxl_turbo_cpu_offload_run,,sdxl_turbo_cpu_offload_run,606.955,11029044.216,11028437.261,48676.27300000191,11028437.261,0.0,180528.60300000367,1,0,CPU,4140351,4140351,-1,-1,7,0,,214,0,[],[],False,False,False,True,0,20,-15024,32768,-11654656,[[]],[null],{},[],"{""user_annotation_args"": ""pipeline=sdxl-turbo device=cuda:0 dtype=float16 offload_mode=none fusion=inductor""}"
1,2,aten::empty,,aten::empty,36141.887,36217.787,75.89999999999418,75.89999999999418,75.89999999999418,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,616,616,0,0,"[[],[],[],[],[],[]]","[[1,77],4,0,null,false,null]",{},[],
2,3,aten::to,,aten::to,36266.967,36296.347,29.380000000004657,29.380000000004657,29.380000000004657,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
3,4,aten::lift_fresh,,aten::lift_fresh,36321.937,36338.917,16.9800000000032,16.9800000000032,16.9800000000032,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
4,5,aten::detach_,,aten::detach_,36351.107,36386.247,35.13999999999942,24.37000000000262,35.13999999999942,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
5,6,detach_,,detach_,36359.987,36370.757,10.769999999996799,10.769999999996799,10.769999999996799,0,0,1,0,CPU,4140351,4140351,-1,-1,0,2,5,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
6,7,aten::empty,,aten::empty,36512.947,36536.227,23.279999999998836,23.279999999998836,23.279999999998836,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,616,616,0,0,"[[],[],[],[],[],[]]","[[1,77],4,0,null,false,null]",{},[],
7,8,aten::to,,aten::to,36555.917,36574.097,18.18000000000029,18.18000000000029,18.18000000000029,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
8,9,aten::lift_fresh,,aten::lift_fresh,36581.127,36695.467,114.33999999999651,114.33999999999651,114.33999999999651,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
9,10,aten::detach_,,aten::detach_,36703.147,36728.327,25.18000000000029,19.06999999999971,25.18000000000029,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
10,11,detach_,,detach_,36709.297,36715.407,6.110000000000582,6.110000000000582,6.110000000000582,0,0,1,0,CPU,4140351,4140351,-1,-1,0,2,10,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,77]]",[null],{},[],
11,12,aten::empty,,aten::empty,37058.757,37088.577,29.81999999999971,29.81999999999971,29.81999999999971,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,72,72,0,0,"[[],[],[],[],[],[]]","[[1,9],4,0,null,false,null]",{},[],
12,13,aten::to,,aten::to,37102.877,37121.777,18.900000000001455,18.900000000001455,18.900000000001455,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,9],[],[],[],[],[]]","[null,null,4,false,false,null]",{},[],
13,14,aten::lift_fresh,,aten::lift_fresh,37129.417,37141.226,11.809000000001106,11.809000000001106,11.809000000001106,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,0,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,9]]",[null],{},[],
14,15,aten::detach_,,aten::detach_,37147.996,37174.326,26.330000000001746,20.020000000004075,26.330000000001746,0,0,1,0,CPU,4140351,4140351,-1,-1,0,1,1,1,0,[],[],False,False,False,False,0,0,0,0,0,"[[1,9]]",[null],{},[],
