step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,77,8,616,cpu,,"[1,77]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,77,8,616,cpu,,"[1,77]",3,3
0,2,cache_19_20,t2,CONTEXT,19,20,0,12,8,96,cpu,,"[1,12]",3,3
0,3,cache_26_27,t3,CONTEXT,26,27,0,12,8,96,cpu,,"[1,12]",3,3
0,4,cache_35_36,t4,CONTEXT,35,36,0,77,8,616,cuda:0,,"[1,77]",2,3
0,5,param_45_46,t5,WEIGHT,45,46,0,37945344,2,75890688,cuda:0,,"[49408,768]",0,1
0,6,param_47_48,t6,WEIGHT,47,48,0,77,8,616,cuda:0,,"[1,77]",0,1
0,7,param_49_50,t7,WEIGHT,49,50,0,59136,2,118272,cuda:0,,"[77,768]",0,1
0,8,param_51_52,t8,WEIGHT,51,52,0,768,2,1536,cuda:0,,[768],0,1
0,9,param_53_54,t9,WEIGHT,53,54,0,768,2,1536,cuda:0,,[768],0,1
0,10,param_55_56,t10,WEIGHT,55,56,0,59136,2,118272,cuda:0,,"[1,77,768]",0,3
0,11,param_57_58,t11,WEIGHT,57,58,0,59136,2,118272,cuda:0,,"[1,77,768]",0,1
0,12,param_61_62,t12,WEIGHT,61,62,0,768,2,1536,cuda:0,,[768],0,1
0,13,param_63_58,t13,WEIGHT,63,58,0,59136,2,118272,cuda:0,,"[77,768]",0,1
0,14,param_64_65,t14,WEIGHT,64,65,0,589824,2,1179648,cuda:0,,"[768,768]",0,1
0,15,cache_66_67,t15,CONTEXT,66,67,0,59136,2,118272,cuda:0,,"[77,768]",2,2
0,16,param_70_71,t16,WEIGHT,70,71,0,768,2,1536,cuda:0,,[768],0,1
0,17,param_72_58,t17,WEIGHT,72,58,0,59136,2,118272,cuda:0,,"[77,768]",0,1
0,18,param_73_74,t18,WEIGHT,73,74,0,589824,2,1179648,cuda:0,,"[768,768]",0,1
0,19,cache_75_76,t19,CONTEXT,75,76,0,59136,2,118272,cuda:0,,"[77,768]",1,1
0,20,param_79_80,t20,WEIGHT,79,80,0,768,2,1536,cuda:0,,[768],0,1
0,21,param_81_58,t21,WEIGHT,81,58,0,59136,2,118272,cuda:0,,"[77,768]",0,1
0,22,param_82_83,t22,WEIGHT,82,83,0,589824,2,1179648,cuda:0,,"[768,768]",0,1
0,23,cache_84_85,t23,CONTEXT,84,85,0,59136,2,118272,cuda:0,,"[77,768]",2,3
0,24,param_88_89,t24,WEIGHT,88,89,0,5929,2,11858,cuda:0,,"[1,1,77,77]",0,8
0,25,param_92_67,t25,WEIGHT,92,67,0,59136,2,118272,cuda:0,,"[1,12,77,64]",0,1
0,26,param_93_76,t26,WEIGHT,93,76,0,59136,2,118272,cuda:0,,"[1,12,77,64]",0,1
0,27,param_94_85,t27,WEIGHT,94,85,0,59136,2,118272,cuda:0,,"[1,12,77,64]",0,1
0,28,param_95_89,t28,WEIGHT,95,89,0,71148,2,142296,cuda:0,,"[1,12,77,77]",0,1
0,29,cache_98_67,t29,CONTEXT,98,67,0,59136,2,118272,cuda:0,,"[1,77,12,64]",1,1
