step,tensor_n,tensor_name,tensor_node_id,tensor_kind,tensor_id,storage_id,offset,numel,itemsize,tensor_size_bytes,device,dtype,shape,producer_count,consumer_count
0,0,cache_5_6,t0,CONTEXT,5,6,0,77,8,616,cpu,,"[1,77]",3,4
0,1,cache_12_13,t1,CONTEXT,12,13,0,77,8,616,cpu,,"[1,77]",3,3
0,2,cache_19_20,t2,CONTEXT,19,20,0,11,8,88,cpu,,"[1,11]",3,3
0,3,cache_26_27,t3,CONTEXT,26,27,0,11,8,88,cpu,,"[1,11]",3,3
0,4,cache_35_36,t4,CONTEXT,35,36,0,77,8,616,cuda:0,,"[1,77]",3,3
0,5,param_39_40,t5,WEIGHT,39,40,0,37945344,2,75890688,cpu,,"[49408,768]",0,1
0,6,cache_43_44,t6,CONTEXT,43,44,0,37945344,2,75890688,cuda:0,,"[49408,768]",2,2
0,7,param_47_40,t7,WEIGHT,47,40,0,37945344,2,75890688,cpu,,"[49408,768]",0,4
0,8,param_47_44,t8,WEIGHT,47,44,0,37945344,2,75890688,cuda:0,,"[49408,768]",0,12
0,9,param_49_50,t9,WEIGHT,49,50,0,59136,2,118272,cpu,,"[77,768]",0,1
0,10,cache_53_54,t10,CONTEXT,53,54,0,59136,2,118272,cuda:0,,"[77,768]",2,2
0,11,param_57_50,t11,WEIGHT,57,50,0,59136,2,118272,cpu,,"[77,768]",0,1
0,12,param_57_54,t12,WEIGHT,57,54,0,59136,2,118272,cuda:0,,"[77,768]",0,6
0,13,param_57_4608,t13,WEIGHT,57,4608,0,59136,2,118272,cpu,,"[77,768]",0,2
0,14,param_57_6967,t14,WEIGHT,57,6967,0,59136,2,118272,cuda:0,,"[77,768]",0,6
0,15,param_57_39773,t15,WEIGHT,57,39773,0,59136,2,118272,cpu,,"[77,768]",0,1
0,16,param_59_60,t16,WEIGHT,59,60,0,589824,2,1179648,cpu,,"[768,768]",0,1
0,17,cache_63_64,t17,CONTEXT,63,64,0,589824,2,1179648,cuda:0,,"[768,768]",2,2
0,18,param_67_60,t18,WEIGHT,67,60,0,589824,2,1179648,cpu,,"[768,768]",0,1
0,19,param_67_64,t19,WEIGHT,67,64,0,589824,2,1179648,cuda:0,,"[768,768]",0,5
0,20,param_67_862,t20,WEIGHT,67,862,0,589824,2,1179648,cpu,,"[768,768]",0,2
0,21,param_67_1797,t21,WEIGHT,67,1797,0,589824,2,1179648,cpu,,"[768,768]",0,1
0,22,param_67_35678,t22,WEIGHT,67,35678,0,589824,2,1179648,cuda:0,,"[768,768]",0,5
0,23,param_69_70,t23,WEIGHT,69,70,0,768,2,1536,cpu,,[768],0,1
0,24,cache_73_74,t24,CONTEXT,73,74,0,768,2,1536,cuda:0,,[768],2,2
0,25,param_77_70,t25,WEIGHT,77,70,0,768,2,1536,cpu,,[768],0,1
0,26,param_77_74,t26,WEIGHT,77,74,0,768,2,1536,cuda:0,,[768],0,5
0,27,param_77_4629,t27,WEIGHT,77,4629,0,768,2,1536,cpu,,[768],0,2
0,28,param_77_35686,t28,WEIGHT,77,35686,0,768,2,1536,cuda:0,,[768],0,5
0,29,param_77_39794,t29,WEIGHT,77,39794,0,768,2,1536,cpu,,[768],0,1
0,30,param_79_80,t30,WEIGHT,79,80,0,589824,2,1179648,cpu,,"[768,768]",0,1
